category,disease,disease_code,diagnostic_role,recommendation_count,direct_formal_recommendation_count,subtype_formal_recommendation_count,effective_formal_recommendation_count
心律失常,房室折返性心动过速,DIS-CARD-ARR-AVRT,independent_disease,4,3,0,3
心律失常,房室结折返性心动过速,DIS-CARD-ARR-AVNRT,independent_disease,4,3,0,3
心律失常,房性心动过速,DIS-CARD-ARR-AT,independent_disease,4,3,0,3
心律失常,持续性室性心动过速,DIS-CARD-ARR-VT,independent_disease,12,4,0,4
心律失常,早期复极综合征,DIS-CARD-ARR-ERS,independent_disease,0,0,0,0
心律失常,束支传导阻滞,DIS-CARD-ARR-BBB,independent_disease,4,3,0,3
心律失常,短QT间期综合征,DIS-CARD-ARR-SQTS,independent_disease,8,3,0,3
心律失常,窦性心动过缓,DIS-CARD-ARR-SB,independent_disease,4,3,0,3
心律失常,窦性心律失常,DIS-CARD-ARR-SINUS,independent_disease,0,0,0,0
心律失常,窦房传导阻滞,DIS-CARD-ARR-SAB,independent_disease,4,3,0,3
心律失常,窦房结功能障碍,DIS-CARD-ARR-SND,independent_disease,4,3,0,3
心律失常,缓慢性心律失常,DIS-CARD-ARR-BRADY,independent_disease,4,3,0,3
心律失常,长QT间期综合征,DIS-CARD-ARR-LQTS,independent_disease,11,4,0,4
心律失常,阵发性室上性心动过速,DIS-CARD-ARR-PSVT,clinical_subtype,0,0,0,0
心律失常,非持续性室性心动过速,DIS-CARD-ARR-NSVT,independent_disease,10,3,0,3
心律失常,预激综合征,DIS-CARD-ARR-WPW,independent_disease,4,4,0,4
心肌病,心房心肌病,DIS-CARD-CM-ATRIAL,clinical_subtype,6,2,0,2
心肌病,心肌炎,DIS-CARD-MYOCARDITIS,broad_diagnosis,0,0,0,0
心肌病,心肌病,DIS-CARD-CM-GENERAL,broad_diagnosis,0,0,26,26
心肌病,扩张型心肌病,DIS-CARD-CM-DCM,clinical_subtype,11,3,0,3
心肌病,暴发性心肌炎,DIS-CARD-FULMINANT-MYOCARDITIS,clinical_subtype,0,0,0,0
心肌病,法布雷病心肌病,DIS-CARD-CM-FABRY,clinical_subtype,5,2,0,2
心肌病,淀粉样变心肌病,DIS-CARD-CM-AMYLOID,clinical_subtype,5,2,0,2
心肌病,肥厚型心肌病,DIS-CARD-CM-HCM,clinical_subtype,10,4,0,4
心肌病,致心律失常性双心室心肌病,DIS-CARD-CM-ABVC,clinical_subtype,7,2,0,2
心肌病,致心律失常性右心室心肌病,DIS-CARD-CM-ARVC,clinical_subtype,6,2,0,2
心肌病,致心律失常性左心室心肌病,DIS-CARD-CM-ALVC,clinical_subtype,6,2,0,2
心肌病,致心律失常性心肌病,DIS-CARD-CM-ACM,clinical_subtype,8,3,0,3
心肌病,限制型心肌病,DIS-CARD-CM-RCM,clinical_subtype,6,2,0,2
心肌病,非扩张型左心室心肌病,DIS-CARD-CM-NDLVCM,clinical_subtype,6,2,0,2
心脏瓣膜病,三尖瓣反流,DIS-CARD-VHD-TR,independent_disease,0,0,0,0
心脏瓣膜病,主动脉瓣反流,DIS-CARD-VHD-AR,independent_disease,0,0,0,0
心脏瓣膜病,主动脉瓣狭窄,DIS-CARD-VHD-AS,independent_disease,0,0,0,0
心脏瓣膜病,二尖瓣反流,DIS-CARD-VHD-MR,independent_disease,0,0,0,0
心脏瓣膜病,二尖瓣狭窄,DIS-CARD-VHD-MS,independent_disease,1,0,0,0
心脏瓣膜病,多瓣膜病,DIS-CARD-VHD-MULTI,independent_disease,0,0,0,0
心脏瓣膜病,心脏瓣膜病,DIS-CARD-VHD,independent_disease,0,0,0,0
心脏瓣膜病,肺动脉瓣狭窄,DIS-CARD-VHD-PS,independent_disease,0,0,0,0
心脏瓣膜病,风湿性心脏瓣膜病,DIS-CARD-VHD-RHD,independent_disease,0,0,0,0
心脏骤停与心脏性猝死,心脏性猝死,DIS-CARD-SCD-SUDDEN,independent_disease,12,2,0,2
心脏骤停与心脏性猝死,心脏骤停,DIS-CARD-SCD-ARREST,independent_disease,12,2,0,2
心血管神经症,心血管神经症,DIS-CARD-NEUROSIS,independent_disease,0,0,0,0
感染性心内膜炎,人工瓣膜心内膜炎,DIS-CARD-IE-PVE,independent_disease,0,0,0,0
感染性心内膜炎,感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,independent_disease,0,0,0,0
肺动脉高压,先天性心脏病相关肺动脉高压,DIS-CARD-PH-CHD,clinical_subtype,0,0,0,0
肺动脉高压,动脉性肺动脉高压,DIS-CARD-PH-PAH,clinical_subtype,0,0,0,0
