after_duplicate_relation_count,after_keep_relation_count,apply,before_duplicate_relation_count,before_keep_relation_count,duplicate_code,evidence_text_length,group_index,group_node_count,group_total_relation_count,incoming_relation_count,keep_code,outgoing_relation_count,source_name,source_page
0,6,true,1,2,EVD-CARD-FULLBOOK-ABCE1273D5DA9B,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-E10320C0BA0B50,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-799FBDC5C59FAD,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-A7270DFFA58929,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-B4C8833D6F7C22,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-B681BA27ABA17C,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-4E09E362A79656,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-CC069D98837F1D,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-2A8F8B986DB1E1,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-8D006BC2176217,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-A687F30A1DAC63,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-07B94B21FFD96F,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-0191FD6BBF38F7,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-D6F4F5DBF7B2EB,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-3B0EA83AA0E934,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-38520AE14AD616,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-167CA7B4F98960,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-44259972F29F93,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-0496691FFA4B62,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-845A7FF0102EC0,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-9CA74EFC9A0EDF,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-E7427E2757225C,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-FC9E9BB3767CD3,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-8616F1ED668C6E,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-E8FC2A2DCFE7D1,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-EC7E8541F2762B,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-76F9B8451FFE81,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-4EB251EAE7064C,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-6DA99F0751E7F6,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-5AD020D1E0FF44,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-941E6C2C7E0DFA,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-7B75FC3F989FA6,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
0,6,true,1,2,EVD-CARD-FULLBOOK-B52C7B9097A5E9,247,4,84,,1,EVD-CARD-FULLBOOK-3148AB1C428DE8,0,《内科学（第10版）》docx,N/A
