CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
预后/预防,1,Prognosis、Prevention,0,射血分数轻度降低的心力衰竭,,DIS-CARD-HF-HFmrEF,可展示但需补强,36
并发症管理,1,Complication,0,射血分数轻度降低的心力衰竭,,DIS-CARD-HF-HFmrEF,可展示但需补强,36
疑似疾病识别,5,Symptom、Sign,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可用于CDSS展示,147
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可用于CDSS展示,147
鉴别诊断,0,DifferentialDiagnosis,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,缺口,147
推荐检查,3,Exam、ExamIndicator,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可用于CDSS展示,147
推荐检验,0,LabTest、LabTestIndicator,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,缺口,147
风险分层,0,RiskStratification,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,缺口,147
治疗方案,1,TreatmentPlan、RecommendationStatement,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可展示但需补强,147
药物推荐,6,Medication,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可用于CDSS展示,147
手术/操作推荐,0,Procedure,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,缺口,147
禁忌与风险预警,4,Contraindication、ClinicalRule,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可用于CDSS展示,147
随访,2,FollowUp,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可展示但需补强,147
预后/预防,1,Prognosis、Prevention,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可展示但需补强,147
并发症管理,1,Complication,0,射血分数降低的心力衰竭,,DIS-CARD-HF-HFrEF,可展示但需补强,147
