disease_code,disease,plan_code,plan_name,relation,target_code,target_name,source,status
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_medication,MED-NDHP-CCB,非二氢吡啶类钙通道阻滞剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_medication,MED-CARD-C685CE7163F5,维拉帕米,疾病既有药物治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_medication,MED-AMIODARONE,胺碘酮,疾病既有药物治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_procedure,PROC-ICD,埋藏式心脏复律除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-B59B1385BA9A601D,植入型心律转复除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_procedure,PROC-CARD-TEXT-84551F84B4,射频消融术,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_procedure,PROC-CARD-TEXT-D9A9D30763,植入式心律转复除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,includes_procedure,PROC-HEART-TRANSPLANT,心脏移植,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-ATRIAL,心房心肌病,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,房性心律失常与卒中风险管理,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,复用既有治疗方案节点,linked
DIS-CARD-CM-ATRIAL,心房心肌病,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,房性心律失常与卒中风险管理,has_treatment_component,PLAN-CARD-TEXT-655F4B37BC,控制心室率,复用既有治疗方案节点,linked
DIS-CARD-CM-ATRIAL,心房心肌病,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,房性心律失常与卒中风险管理,has_treatment_component,PLAN-CARD-40AB27F53C05,节律控制,复用既有治疗方案节点,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-DIURETIC,利尿剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-D4740D1E9C46,螺内酯,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-C9175F150C3D,美托洛尔,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-C015B7A5655A,血管紧张素Ⅱ受体阻滞剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-AE13AC40D4CF,卡维地洛,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-81B5F958C0F3,华法林,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-5C774D10CF46,血管紧张素受体脑啡肽酶抑制剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-2CF15595A00F,比索洛尔,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-CE7B6E8D0756D10D,钠-葡萄糖共转运蛋白2抑制剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-7887433A96437926,血管紧张素转换酶抑制剂或血管紧张素受体阻滞剂,疾病既有药物治疗关系,linked
