adj_code,rec_code,category,rel_count
SRCADJ-CARD-BULK-F25B1E2CDF370D7A,REC-D0FB9C2CE9FA19D8,心律失常,8
SRCADJ-CARD-BULK-8D539FD9B1FA3DC7,REC-E1C706AC712F073D,心肌病,8
SRCADJ-CARD-BULK-D279DA7FFE5F231C,REC-7F81953DE3512D77,心肌病,8
SRCADJ-CARD-BULK-75619C16E367E196,REC-ECBD71CB0860E1D7,心肌病,8
SRCADJ-CARD-BULK-BD9C258BC93E95EE,REC-4E1F1511A359893F,心肌病,8
SRCADJ-CARD-BULK-306C4A636E4ED9A4,REC-409D51FF3EF8F9F0,心肌病,8
SRCADJ-CARD-BULK-0AB752689DE1ABD2,REC-43CB93405DFD3C3B,心肌病,8
SRCADJ-CARD-BULK-7E56329DDBF5F960,REC-D528B7393F407AFD,心肌病,8
SRCADJ-CARD-BULK-1A1793D10EE14A93,REC-2B53E0EC6FAAF3FC,心肌病,8
SRCADJ-CARD-BULK-5C68BAFA0A8858BA,REC-346A7B6F72203B80,心肌病,8
SRCADJ-CARD-BULK-9802214F8A0FA140,REC-0C79D172AF1123A2,心肌病,8
SRCADJ-CARD-BULK-38C610E6D5A36690,REC-975A4B8091F0C7AC,心肌病,8
SRCADJ-CARD-BULK-40181FFA09574ED9,REC-AB3490A7803DED48,心律失常,8
SRCADJ-CARD-BULK-AF8C058CC456039D,REC-9A073BB5267D4E5B,心律失常,8
SRCADJ-CARD-BULK-8E5BA163BF4FC516,REC-EC542465AB7E2306,心律失常,8
SRCADJ-CARD-BULK-192C699C537E9724,REC-0B490AFB3BD72C3E,心律失常,8
SRCADJ-CARD-BULK-1008FCBD8460A6C8,REC-44C54EB75362E681,心律失常,8
SRCADJ-CARD-BULK-DFEBCE9BC40F9273,REC-FDE721E968C19BA8,心律失常,8
SRCADJ-CARD-BULK-C08F4FBF203C2603,REC-6CA2B4ECB2D76ADA,心肌病,8
