after_duplicate_relation_count,after_keep_relation_count,apply,before_duplicate_relation_count,before_keep_relation_count,duplicate_code,evidence_text_length,group_index,group_node_count,group_total_relation_count,incoming_relation_count,keep_code,outgoing_relation_count,source_name,source_page
1,1,false,1,1,EVD-CARD-FULLBOOK-E1EE9981E2E9CF,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-E39E4F2EF9B1E9,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-91E7137D39BE4F,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-511D8BB99D0663,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-5DEE5B212046D9,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-211FDF31126FC5,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-5D7365D7068921,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-F3E9C6B81D3445,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-D6916678D23854,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-C1FA46FB7955D2,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-FB548488BA78B0,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
