疾病大类,疾病编码,疾病名称,诊断角色,父级疾病,下级分型数,标准诊断状态,标准诊断说明,定义,症状,体征,危险因素,并发症,检查项目,检验项目,检查发现,检验细项,诊断标准,诊断明细,鉴别诊断,鉴别规则,风险分层,治疗方案,药物动作,手术/操作动作,其他治疗动作,随访,预后,预防,证据,指南,正式推荐,硬缺口,提醒
心律失常,DIS-CARD-ARR-BRADY,缓慢性心律失常,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,7,5,0,5,0,0,22,0,2,9,0,0,1,2,2,4,0,2,1,0,292,6,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-LQTS,长QT间期综合征,independent_disease,,0,非阻断,只有上位/回退标准诊断：长QT综合征(STDDX-6480dced356ccb7ea7ec2de604aa1b1b)；可知识展示，不可自动写出院诊断。,1,6,3,14,5,0,0,37,4,1,3,0,0,1,4,12,6,0,1,1,0,103,5,4,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-PSVT,阵发性室上性心动过速,clinical_subtype,DIS-CARD-ARR-SVT,0,通过,存在精确标准诊断：阵发性室上性心动过速(STDDX-e95d9bfcf4dcae2d651b3db2a30b466f),1,0,2,1,3,0,0,13,0,0,0,0,0,0,2,3,1,0,0,0,0,21,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心律失常,DIS-CARD-ARR-NSVT,非持续性室性心动过速,independent_disease,,0,通过,存在精确标准诊断：非持续性室性心动过速(STDDX-52b0c256d6ccba0b0a7fca09c00936e1),1,6,3,8,3,0,0,50,0,1,3,0,0,1,3,2,3,0,1,1,0,65,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-WPW,预激综合征,independent_disease,,0,通过,存在精确标准诊断：预激综合征(STDDX-caae917c66434151ba03a93c9cc451d5),1,8,2,5,6,0,0,30,0,1,1,4,6,0,5,12,5,2,1,1,0,243,7,4,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-ATRIAL,心房心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,非阻断,只有上位/回退标准诊断：心肌病(STDDX-d4c92d7b4031091f475c20c62bffcd04)；可知识展示，不可自动写出院诊断。,1,1,1,1,3,0,0,6,0,1,3,2,1,1,3,14,3,0,1,1,0,5,4,2,,分型缺检查/检验项目
心肌病,DIS-CARD-MYOCARDITIS,心肌炎,broad_diagnosis,,1,通过,存在精确标准诊断：心肌炎(STDDX-48d8556e94f3520e45a8ca0ab41794b2),1,19,22,13,11,0,0,53,9,1,34,3,18,1,1,9,7,2,1,1,0,599,7,0,,暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心肌病,DIS-CARD-CM-GENERAL,心肌病,broad_diagnosis,,11,通过,存在精确标准诊断：心肌病(STDDX-d4c92d7b4031091f475c20c62bffcd04),1,0,0,0,0,0,0,10,3,0,0,4,16,1,0,0,0,0,0,0,0,201,1,0,,疑似诊断节点缺基础临床表现；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心肌病,DIS-CARD-CM-DCM,扩张型心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,通过,存在精确标准诊断：扩张型心肌病(STDDX-5034eac3a6a1dd3aeade10483be77945),1,13,17,11,7,0,0,60,3,1,3,3,17,1,2,23,4,0,1,1,0,575,19,3,,分型缺检查/检验项目
心肌病,DIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎,clinical_subtype,DIS-CARD-MYOCARDITIS,0,通过,存在精确标准诊断：暴发性心肌炎(STDDX-877a0aa3fa0c9b3494d23e728e196595),1,6,7,1,4,0,0,37,9,1,25,1,7,1,1,0,0,2,1,1,0,102,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,非阻断,只有上位/回退标准诊断：心肌病(STDDX-d4c92d7b4031091f475c20c62bffcd04)；可知识展示，不可自动写出院诊断。,1,1,1,1,3,0,0,21,0,1,3,2,1,0,1,2,0,0,1,1,0,10,2,2,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,通过,存在精确标准诊断：心脏淀粉样变性(STDDX-4abaee44db4b2afe2c5e7c4b50306b67),1,1,1,3,4,0,0,39,0,1,3,2,13,0,1,0,2,0,1,1,0,69,11,2,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-HCM,肥厚型心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,通过,存在精确标准诊断：肥厚型心肌病，其他的(STDDX-ea1b1eb42678ac3a529d11ad80675ab3),1,13,10,11,7,0,0,61,8,1,3,3,17,1,1,16,5,0,1,1,0,817,20,4,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,非阻断,只有上位/回退标准诊断：心肌病(STDDX-d4c92d7b4031091f475c20c62bffcd04)；可知识展示，不可自动写出院诊断。,1,2,1,1,2,0,0,9,0,1,3,2,1,1,1,7,1,0,1,1,0,9,2,2,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,通过,存在精确标准诊断：致心律失常性右室心肌病(STDDX-e2f3017ed624228933ae203d12681c25),1,8,4,11,6,0,0,56,0,1,3,4,20,1,1,4,3,0,1,1,0,303,12,2,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,通过,存在精确标准诊断：致心律失常性左室心肌病(STDDX-e73a5f7a9cf9b894401b8b0cbcd2cf96),1,1,1,1,3,0,0,39,0,1,3,1,7,1,1,0,1,0,1,1,0,27,5,2,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-ACM,致心律失常性心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,非阻断,只有上位/回退标准诊断：心肌病(STDDX-d4c92d7b4031091f475c20c62bffcd04)；可知识展示，不可自动写出院诊断。,1,5,1,3,3,0,0,43,3,1,3,2,13,1,1,8,2,0,1,1,0,120,8,3,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-RCM,限制型心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,通过,存在精确标准诊断：限制型心肌病，其他的(STDDX-b7d272035cf77c861d90a33e00cce0e2),1,9,8,6,6,0,0,51,3,1,3,3,15,1,1,11,3,0,1,1,0,201,15,2,,分型缺检查/检验项目
心肌病,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,clinical_subtype,DIS-CARD-CM-GENERAL,0,非阻断,只有上位/回退标准诊断：心肌病(STDDX-d4c92d7b4031091f475c20c62bffcd04)；可知识展示，不可自动写出院诊断。,1,1,1,2,4,0,0,34,0,1,3,2,1,0,1,6,1,0,1,1,0,80,5,2,,分型缺检查/检验项目
心脏瓣膜病,DIS-CARD-VHD-TR,三尖瓣反流,independent_disease,,0,非阻断,只有上位/回退标准诊断：三尖瓣关闭不全(STDDX-89ca3397e9b49ccaa42021679a81f783)；可知识展示，不可自动写出院诊断。,1,5,4,2,4,0,0,36,7,1,1,0,0,1,1,0,2,0,1,1,0,172,5,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心脏瓣膜病,DIS-CARD-VHD-AR,主动脉瓣反流,independent_disease,,0,非阻断,只有上位/回退标准诊断：主动脉瓣关闭不全(STDDX-8c0f5c9ff1599708f22cf8f48cb2980d)；可知识展示，不可自动写出院诊断。,1,16,16,10,10,0,0,49,3,1,1,3,18,1,2,9,4,1,8,8,7,287,8,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心脏瓣膜病,DIS-CARD-VHD-MR,二尖瓣反流,independent_disease,,0,通过,存在精确标准诊断：二尖瓣反流(STDDX-41303bcfe5ffbef9307a0e4b68cc96fd),1,16,19,10,12,0,0,44,8,1,1,2,11,1,1,10,5,0,7,7,6,496,8,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心脏瓣膜病,DIS-CARD-VHD-MS,二尖瓣狭窄,independent_disease,,0,通过,存在精确标准诊断：二尖瓣狭窄(STDDX-a0f7c65a88342d7832b6b0ba956184a6),1,15,23,11,12,0,0,44,7,1,1,2,11,1,3,10,3,1,9,9,8,355,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心脏瓣膜病,DIS-CARD-VHD-MULTI,多瓣膜病,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,1,4,4,3,0,0,14,3,1,1,0,0,0,1,0,5,0,1,1,0,24,3,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心脏瓣膜病,DIS-CARD-VHD,心脏瓣膜病,independent_disease,,0,通过,存在精确标准诊断：心脏瓣膜病(STDDX-9d660750bc292517a932076f2acead7c),1,11,8,5,8,0,0,37,3,1,1,2,11,1,1,2,2,0,1,1,0,459,12,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心脏瓣膜病,DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,10,8,6,5,0,0,23,6,1,1,2,14,0,1,3,1,0,1,1,0,27,3,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
感染性心内膜炎,DIS-CARD-IE-PVE,人工瓣膜心内膜炎,independent_disease,,0,通过,存在精确标准诊断：人工瓣膜心内膜炎(STDDX-317670513d8f563ca5bec93684094c23),1,1,1,3,5,0,0,22,1,0,0,0,0,0,1,0,2,0,0,0,0,41,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,independent_disease,,0,通过,存在精确标准诊断：感染性心内膜炎(STDDX-c7d9fb2f930c00784a64cea50e3fad7f),1,12,16,10,12,0,0,49,10,1,23,3,18,1,1,4,3,0,1,1,0,500,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
肺动脉高压,DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,clinical_subtype,DIS-CARD-PH,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,11,5,5,8,0,0,50,7,1,1,2,11,0,1,3,1,0,1,1,0,112,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
肺动脉高压,DIS-CARD-PH-PAH,动脉性肺动脉高压,clinical_subtype,DIS-CARD-PH,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,8,3,2,6,0,0,50,7,1,1,2,11,1,1,3,0,0,1,1,0,426,7,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
肺动脉高压,DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,clinical_subtype,DIS-CARD-PH,0,通过,存在精确标准诊断：慢性血栓栓塞性肺动脉高压症(STDDX-501ed845034dbcaa391db3cb68553bd5),1,8,1,1,5,0,0,40,7,1,1,1,5,1,1,1,2,0,1,1,0,104,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
肺动脉高压,DIS-CARD-PH-IPAH,特发性肺动脉高压,clinical_subtype,DIS-CARD-PH,0,通过,存在精确标准诊断：特发性肺动脉高压(STDDX-ff4f373c98217c8a79b5af09e06a5c41),1,8,0,1,5,0,0,45,7,1,1,1,5,1,1,3,0,0,1,1,0,106,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
肺动脉高压,DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,clinical_subtype,DIS-CARD-PH,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,8,2,5,7,0,0,32,2,1,1,1,8,1,1,2,0,0,1,1,0,44,5,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
肺动脉高压,DIS-CARD-PH,肺动脉高压,broad_diagnosis,,6,通过,存在精确标准诊断：肺动脉高压(STDDX-ec485a41165830b8ac22d1633a028b64),1,11,8,5,8,0,0,45,7,1,1,3,18,1,1,4,0,0,1,1,0,431,8,0,,暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
肺动脉高压,DIS-CARD-PH-HPAH,遗传性肺动脉高压,clinical_subtype,DIS-CARD-PH,0,通过,存在精确标准诊断：可遗传性肺动脉高压(STDDX-af65f02150247015d7a99f0cca239546),1,4,0,0,4,0,0,36,7,1,1,0,0,1,1,2,0,0,1,1,0,33,4,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
血脂异常与动脉粥样硬化防治,DIS-CARD-FH,家族性高胆固醇血症,independent_disease,,0,通过,存在精确标准诊断：家族性高胆固醇血症(STDDX-c363ca06b4e7f0c0af4790fbeb49d268),1,1,1,2,4,0,0,17,0,1,5,1,7,2,1,1,0,0,1,1,0,231,8,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
血脂异常与动脉粥样硬化防治,DIS-CARD-DYSLIPIDEMIA,血脂异常,independent_disease,,0,通过,存在精确标准诊断：血脂异常(STDDX-67753f1ea2e1d9fb237ea6ef57a8d0c6),1,3,2,2,6,0,0,32,4,1,14,1,7,2,1,2,0,0,1,1,0,206,7,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
血脂异常与动脉粥样硬化防治,DIS-CARD-HYPERCHOLESTEROLEMIA,高胆固醇血症,independent_disease,,0,通过,存在精确标准诊断：高胆固醇血症(STDDX-50be9f42098bed3ac08b7ea425222e0c),1,1,1,2,3,0,0,4,0,1,4,1,7,2,1,1,0,0,1,1,0,74,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
高血压,DIS-CARD-HTN-COA,主动脉缩窄,independent_disease,,0,通过,存在精确标准诊断：主动脉缩窄(STDDX-673733da975bd4faac1fbd589930e23a),1,6,5,5,2,0,0,22,0,0,0,0,0,0,1,0,1,0,0,0,0,43,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
高血压,DIS-CARD-HT-ENDOCRINE,内分泌性高血压,clinical_subtype,DIS-CARD-HT,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,2,1,4,2,0,0,4,4,1,1,0,0,0,2,9,0,0,1,1,0,20,3,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-PA,原发性醛固酮增多症,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,7,5,12,6,0,0,45,7,1,1,0,0,1,3,10,1,0,1,1,0,223,13,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-PRIMARY,原发性高血压,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：原发性高血压(STDDX-ea37dcfe4b9051b9bc44b368dfafb5cd),1,15,13,14,8,0,0,49,8,1,1,0,0,1,4,14,0,6,1,1,0,135,12,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-PAROXYSMAL,发作性高血压,clinical_subtype,DIS-CARD-HT,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,8,3,8,3,0,0,10,0,1,1,0,0,0,1,6,0,0,1,1,0,24,4,3,,分型缺检查/检验项目
高血压,DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,2,3,4,3,0,0,9,0,0,0,0,0,0,2,6,0,0,0,0,0,27,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
高血压,DIS-CARD-HT-CKD,慢性肾脏病合并高血压,clinical_subtype,DIS-CARD-HT,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,0,5,2,0,0,0,6,1,1,0,0,0,1,5,0,0,1,1,0,10,3,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-WCH,白大衣高血压,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：白大衣高血压(STDDX-af1c3d1aadef96014ecf5e5ea8a76721),1,0,2,6,2,0,0,23,5,1,1,0,0,0,2,5,0,6,1,1,0,58,10,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-SECONDARY,继发性高血压,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：继发性高血压(STDDX-f240db8dae7c5cf278462416146c518c),1,8,8,14,8,0,0,61,8,1,1,0,0,0,4,12,0,6,1,1,0,223,14,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-ELDERLY,老年高血压,clinical_subtype,DIS-CARD-HT,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,0,1,8,5,0,0,13,6,1,1,0,0,0,4,8,0,6,1,1,0,59,10,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,肾实质性高血压,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：肾实质性高血压(STDDX-c8e808d072c097879f26802a728285c7),1,0,3,9,3,0,0,23,5,1,1,0,0,0,1,5,0,0,1,1,0,38,4,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-RENOVASCULAR,肾血管性高血压,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：肾血管性高血压(STDDX-544e899227b2eab9ecf0ea53b324964b),1,0,3,9,4,0,0,16,0,1,1,0,0,0,4,7,2,0,1,1,0,44,7,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-MASKED,隐匿性高血压,clinical_subtype,DIS-CARD-HT,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,0,2,6,2,0,0,23,4,1,1,0,0,0,2,5,0,6,1,1,0,42,9,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-RESISTANT,难治性高血压,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：难治性高血压(STDDX-08bb7825ecad0b37e8a504f68292c026),1,6,3,9,8,0,0,43,7,1,1,0,0,1,4,9,1,6,1,1,0,195,13,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT,高血压,broad_diagnosis,,13,通过,存在精确标准诊断：高血压(STDDX-a928c01ab8b14b8ebbc1db5b8641cd5e),1,12,4,10,8,0,0,46,11,1,1,0,0,2,4,24,2,6,1,1,0,2121,16,2,,
高血压,DIS-CARD-HT-URGENCY,高血压亚急症,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：高血压亚急症(STDDX-1d99bb8bd9099b13d63205af82055fad),1,4,2,3,2,0,0,16,0,1,1,0,0,0,2,6,0,0,1,1,0,8,4,2,,分型缺检查/检验项目
高血压,DIS-CARD-HT-EMERGENCY,高血压急症,clinical_subtype,DIS-CARD-HT,0,通过,存在精确标准诊断：高血压急症(STDDX-fe936ff46faba2192d5272077b8bcea6),1,10,3,10,8,0,0,26,5,1,1,0,0,0,4,10,0,6,1,1,0,57,12,2,,分型缺检查/检验项目
高血压,DIS-CARD-HTN-EMERGENCY,高血压急症和亚急症,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,1,3,1,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,13,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
