疾病大类,疾病编码,疾病名称,诊断角色,父级疾病,下级分型数,标准诊断状态,标准诊断说明,定义,症状,体征,危险因素,并发症,检查项目,检验项目,检查发现,检验细项,诊断标准,诊断明细,鉴别诊断,鉴别规则,风险分层,治疗方案,药物动作,手术/操作动作,其他治疗动作,随访,预后,预防,证据,指南,正式推荐,硬缺口,提醒
先天性心血管病,DIS-CARD-VSD,室间隔缺损,independent_disease,,0,通过,存在精确标准诊断：室间隔缺损(STDDX-a82c0e94b26a9f11025430fcde31f237),1,10,10,5,11,0,0,44,4,1,21,0,0,0,1,1,6,0,1,1,0,174,5,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
先天性心血管病,DIS-CARD-CHD-ASD,房间隔缺损,independent_disease,,0,通过,存在精确标准诊断：房间隔缺损(STDDX-1953efafdb2b7c48094c13f26e4dae62),1,9,8,6,10,0,0,45,0,1,20,1,5,0,1,1,6,0,1,1,0,150,8,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
先天性心血管病,DIS-CARD-VHD-PS,肺动脉瓣狭窄,independent_disease,,0,通过,存在精确标准诊断：肺动脉瓣狭窄(STDDX-bd06ead8dfb48052efde146ce6ed2525),1,5,5,6,9,0,0,35,4,1,1,1,7,1,1,0,7,0,1,1,0,80,4,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
冠心病,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,clinical_subtype,DIS-CARD-CAD-AMI,0,通过,存在精确标准诊断：急性ST段抬高型心肌梗死(STDDX-71b7c9b82cfdb149fc948faf1257c92d),1,20,21,13,13,0,0,49,7,1,9,8,32,2,8,42,7,1,2,2,2,631,22,6,,分型缺检查/检验项目
冠心病,DIS-CARD-CAD-UA,不稳定型心绞痛,independent_disease,,0,通过,存在精确标准诊断：不稳定型心绞痛(STDDX-fdd231b93df00db06874ab9734c562a5),1,13,9,8,7,2,0,56,7,1,4,2,15,5,5,19,2,1,1,1,0,198,15,3,,
冠心病,DIS-CARD-CAD-SPASM,冠状动脉痉挛,independent_disease,,0,通过,存在精确标准诊断：冠状动脉痉挛(STDDX-8a60941d16329afb6912bdd17203c44f),1,7,1,3,3,0,0,38,0,0,0,1,7,0,1,6,1,0,0,0,0,14,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
冠心病,DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,independent_disease,,0,通过,存在精确标准诊断：冠状动脉粥样硬化性心脏病(STDDX-51ea51436418eb85ac82436d6eae32a6),1,15,16,10,9,0,0,66,8,0,0,0,0,0,2,5,6,0,0,0,0,473,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
冠心病,DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,independent_disease,,0,通过,存在精确标准诊断：动脉粥样硬化(STDDX-b7720e8e24eec4bf6ed9e1e00f3c61d6),1,16,13,14,9,0,0,61,6,0,0,0,0,0,2,3,3,0,0,0,0,366,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
冠心病,DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,2,2,0,2,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
冠心病,DIS-CARD-CAD-ACS,急性冠脉综合征,broad_diagnosis,,0,通过,存在精确标准诊断：急性冠脉综合征(STDDX-c2001b708d61f08722ab4b8ff3fc7704),1,14,13,10,9,0,0,53,8,1,3,4,20,1,5,21,5,2,1,1,0,1291,23,4,,分型缺检查/检验项目
冠心病,DIS-CARD-CAD-AMI,急性心肌梗死,broad_diagnosis,,2,通过,存在精确标准诊断：急性心肌梗死(STDDX-adb56b7ed55412d0630ec4f16af30860),1,25,23,16,11,0,0,68,10,1,9,4,20,2,5,20,8,2,9,9,8,1037,27,3,,
冠心病,DIS-CARD-CAD-CCS,慢性冠脉综合征,broad_diagnosis,,2,非阻断,宽口径疑似诊断可无精确出院诊断编码，但必须有分型入口。,1,9,2,9,6,0,0,31,2,1,3,1,7,1,3,11,2,0,1,1,0,451,17,4,,
冠心病,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,independent_disease,,0,通过,存在精确标准诊断：稳定型心绞痛(STDDX-422684c88d0093171caa0aa03abbda1e),1,13,12,7,7,2,0,49,8,1,6,2,15,1,3,14,2,0,12,12,11,284,22,2,,
冠心病,DIS-CARD-CAD-ICM,缺血性心肌病,clinical_subtype,DIS-CARD-CAD-CCS,0,通过,存在精确标准诊断：缺血性心肌病(STDDX-f58084c2440d22165926369fb830025b),1,15,19,7,11,0,0,64,2,1,4,3,14,0,2,12,4,0,1,1,0,148,17,4,,分型缺检查/检验项目
冠心病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,independent_disease,,0,通过,存在精确标准诊断：陈旧性心肌梗死(STDDX-920828c06aa498701beaf8006a7698f9),1,7,4,3,4,0,0,26,2,1,3,0,0,0,2,5,1,0,1,1,0,20,9,2,,分型缺检查/检验项目
冠心病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,clinical_subtype,DIS-CARD-CAD-CCS,0,非阻断,只有上位/回退标准诊断：无症状心肌缺血(STDDX-e5ee45d493b9fba93c04993e684b7b9b)；可知识展示，不可自动写出院诊断。,1,5,2,2,2,0,0,39,0,1,3,0,0,0,1,5,0,0,1,1,0,8,2,2,,分型缺检查/检验项目
冠心病,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,clinical_subtype,DIS-CARD-CAD-AMI,0,通过,存在精确标准诊断：急性非ST段抬高型心肌梗死(STDDX-17b9670d00eced9c9a278ce1c1399f74),1,11,8,8,6,0,0,56,2,1,4,3,13,6,5,19,2,1,1,1,0,628,19,4,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,通过,存在精确标准诊断：全心衰竭(STDDX-f40bd3b067b967dd2f3deaee0c69f73f),1,3,2,0,1,0,0,10,2,1,3,0,0,0,1,1,0,0,1,1,0,17,4,3,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-RIGHT,右心衰竭,independent_disease,,0,通过,存在精确标准诊断：右心衰竭(STDDX-39e97afa2118cfbdfea770f284a40486),1,3,2,0,1,0,0,10,2,2,4,0,0,1,1,2,0,0,2,1,0,219,10,3,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,2,0,1,0,0,10,2,2,5,0,0,0,1,7,0,0,2,1,0,174,11,3,,分型缺检查/检验项目
