CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
随访,0,FollowUp,0,冠状动脉粥样硬化性心脏病,,DIS-CARD-CAD-CHD,缺口,1355
预后/预防,0,Prognosis、Prevention,0,冠状动脉粥样硬化性心脏病,,DIS-CARD-CAD-CHD,缺口,1355
并发症管理,9,Complication,0,冠状动脉粥样硬化性心脏病,,DIS-CARD-CAD-CHD,可用于CDSS展示,1355
疑似疾病识别,29,Symptom、Sign,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可用于CDSS展示,1003
诊断建议,1,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可展示但需补强,1003
鉴别诊断,0,DifferentialDiagnosis,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,缺口,1003
推荐检查,12,Exam、ExamIndicator,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可用于CDSS展示,1003
推荐检验,7,LabTest、LabTestIndicator,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可用于CDSS展示,1003
风险分层,0,RiskStratification,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,缺口,1003
治疗方案,4,TreatmentPlan、RecommendationStatement,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可用于CDSS展示,1003
药物推荐,9,Medication,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可用于CDSS展示,1003
手术/操作推荐,3,Procedure,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可用于CDSS展示,1003
禁忌与风险预警,1,Contraindication、ClinicalRule,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可展示但需补强,1003
随访,0,FollowUp,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,缺口,1003
预后/预防,0,Prognosis、Prevention,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,缺口,1003
并发症管理,9,Complication,0,动脉粥样硬化,,DIS-CARD-CAD-ATHEROSCLEROSIS,可用于CDSS展示,1003
疑似疾病识别,4,Symptom、Sign,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,可用于CDSS展示,19
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
鉴别诊断,0,DifferentialDiagnosis,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
推荐检查,2,Exam、ExamIndicator,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,可展示但需补强,19
推荐检验,0,LabTest、LabTestIndicator,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
风险分层,0,RiskStratification,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
治疗方案,1,TreatmentPlan、RecommendationStatement,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,可展示但需补强,19
药物推荐,0,Medication,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
手术/操作推荐,1,Procedure,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,可展示但需补强,19
禁忌与风险预警,0,Contraindication、ClinicalRule,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
