CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
鉴别诊断,0,DifferentialDiagnosis,0,原发性高血压,,DIS-CARD-HT-PRIMARY,缺口,45
推荐检查,4,Exam、ExamIndicator,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
推荐检验,5,LabTest、LabTestIndicator,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
风险分层,0,RiskStratification,0,原发性高血压,,DIS-CARD-HT-PRIMARY,缺口,45
治疗方案,3,TreatmentPlan、RecommendationStatement,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
药物推荐,4,Medication,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
手术/操作推荐,0,Procedure,0,原发性高血压,,DIS-CARD-HT-PRIMARY,缺口,45
禁忌与风险预警,3,Contraindication、ClinicalRule,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
随访,1,FollowUp,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可展示但需补强,45
预后/预防,1,Prognosis、Prevention,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可展示但需补强,45
并发症管理,5,Complication,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
疑似疾病识别,24,Symptom、Sign,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
诊断建议,10,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
鉴别诊断,0,DifferentialDiagnosis,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
推荐检查,9,Exam、ExamIndicator,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
推荐检验,4,LabTest、LabTestIndicator,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
风险分层,0,RiskStratification,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
治疗方案,1,TreatmentPlan、RecommendationStatement,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可展示但需补强,216
药物推荐,11,Medication,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
手术/操作推荐,0,Procedure,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
禁忌与风险预警,5,Contraindication、ClinicalRule,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
随访,0,FollowUp,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
预后/预防,0,Prognosis、Prevention,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
并发症管理,5,Complication,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
疑似疾病识别,11,Symptom、Sign,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可用于CDSS展示,24
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可用于CDSS展示,24
鉴别诊断,0,DifferentialDiagnosis,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,缺口,24
推荐检查,3,Exam、ExamIndicator,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可用于CDSS展示,24
推荐检验,2,LabTest、LabTestIndicator,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可展示但需补强,24
风险分层,0,RiskStratification,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,缺口,24
治疗方案,0,TreatmentPlan、RecommendationStatement,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,缺口,24
药物推荐,6,Medication,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可用于CDSS展示,24
手术/操作推荐,0,Procedure,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,缺口,24
禁忌与风险预警,3,Contraindication、ClinicalRule,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可用于CDSS展示,24
随访,1,FollowUp,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可展示但需补强,24
预后/预防,1,Prognosis、Prevention,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可展示但需补强,24
并发症管理,3,Complication,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可用于CDSS展示,24
疑似疾病识别,5,Symptom、Sign,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,可用于CDSS展示,71
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,缺口,71
鉴别诊断,0,DifferentialDiagnosis,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,缺口,71
推荐检查,2,Exam、ExamIndicator,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,可展示但需补强,71
推荐检验,2,LabTest、LabTestIndicator,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,可展示但需补强,71
风险分层,0,RiskStratification,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,缺口,71
治疗方案,1,TreatmentPlan、RecommendationStatement,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,可展示但需补强,71
药物推荐,2,Medication,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,可展示但需补强,71
手术/操作推荐,0,Procedure,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,缺口,71
禁忌与风险预警,0,Contraindication、ClinicalRule,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,缺口,71
随访,0,FollowUp,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,缺口,71
预后/预防,0,Prognosis、Prevention,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,缺口,71
并发症管理,3,Complication,0,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,可用于CDSS展示,71
疑似疾病识别,3,Symptom、Sign,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可用于CDSS展示,10
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可用于CDSS展示,10
鉴别诊断,0,DifferentialDiagnosis,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,缺口,10
推荐检查,1,Exam、ExamIndicator,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可展示但需补强,10
推荐检验,3,LabTest、LabTestIndicator,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可用于CDSS展示,10
风险分层,0,RiskStratification,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,缺口,10
治疗方案,1,TreatmentPlan、RecommendationStatement,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可展示但需补强,10
药物推荐,2,Medication,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可展示但需补强,10
手术/操作推荐,0,Procedure,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,缺口,10
禁忌与风险预警,3,Contraindication、ClinicalRule,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可用于CDSS展示,10
随访,1,FollowUp,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可展示但需补强,10
预后/预防,1,Prognosis、Prevention,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可展示但需补强,10
并发症管理,2,Complication,0,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,可展示但需补强,10
疑似疾病识别,2,Symptom、Sign,0,白大衣高血压,,DIS-CARD-HT-WCH,可展示但需补强,58
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,白大衣高血压,,DIS-CARD-HT-WCH,可用于CDSS展示,58
鉴别诊断,0,DifferentialDiagnosis,0,白大衣高血压,,DIS-CARD-HT-WCH,缺口,58
推荐检查,4,Exam、ExamIndicator,0,白大衣高血压,,DIS-CARD-HT-WCH,可用于CDSS展示,58
推荐检验,5,LabTest、LabTestIndicator,0,白大衣高血压,,DIS-CARD-HT-WCH,可用于CDSS展示,58
风险分层,0,RiskStratification,0,白大衣高血压,,DIS-CARD-HT-WCH,缺口,58
治疗方案,2,TreatmentPlan、RecommendationStatement,0,白大衣高血压,,DIS-CARD-HT-WCH,可展示但需补强,58
药物推荐,2,Medication,0,白大衣高血压,,DIS-CARD-HT-WCH,可展示但需补强,58
手术/操作推荐,0,Procedure,0,白大衣高血压,,DIS-CARD-HT-WCH,缺口,58
禁忌与风险预警,3,Contraindication、ClinicalRule,0,白大衣高血压,,DIS-CARD-HT-WCH,可用于CDSS展示,58
随访,1,FollowUp,0,白大衣高血压,,DIS-CARD-HT-WCH,可展示但需补强,58
预后/预防,1,Prognosis、Prevention,0,白大衣高血压,,DIS-CARD-HT-WCH,可展示但需补强,58
并发症管理,2,Complication,0,白大衣高血压,,DIS-CARD-HT-WCH,可展示但需补强,58
疑似疾病识别,10,Symptom、Sign,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
鉴别诊断,0,DifferentialDiagnosis,0,继发性高血压,,DIS-CARD-HT-SECONDARY,缺口,130
推荐检查,9,Exam、ExamIndicator,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
推荐检验,8,LabTest、LabTestIndicator,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
风险分层,0,RiskStratification,0,继发性高血压,,DIS-CARD-HT-SECONDARY,缺口,130
治疗方案,3,TreatmentPlan、RecommendationStatement,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
药物推荐,5,Medication,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
手术/操作推荐,0,Procedure,0,继发性高血压,,DIS-CARD-HT-SECONDARY,缺口,130
禁忌与风险预警,3,Contraindication、ClinicalRule,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
随访,1,FollowUp,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可展示但需补强,130
预后/预防,1,Prognosis、Prevention,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可展示但需补强,130
并发症管理,6,Complication,0,继发性高血压,,DIS-CARD-HT-SECONDARY,可用于CDSS展示,130
疑似疾病识别,10,Symptom、Sign,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可用于CDSS展示,247
诊断建议,1,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可展示但需补强,247
鉴别诊断,0,DifferentialDiagnosis,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,缺口,247
推荐检查,10,Exam、ExamIndicator,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可用于CDSS展示,247
推荐检验,4,LabTest、LabTestIndicator,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可用于CDSS展示,247
风险分层,0,RiskStratification,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,缺口,247
治疗方案,2,TreatmentPlan、RecommendationStatement,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可展示但需补强,247
药物推荐,10,Medication,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可用于CDSS展示,247
手术/操作推荐,3,Procedure,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可用于CDSS展示,247
禁忌与风险预警,0,Contraindication、ClinicalRule,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,缺口,247
随访,0,FollowUp,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,缺口,247
预后/预防,0,Prognosis、Prevention,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,缺口,247
并发症管理,4,Complication,0,继发性高血压,,DIS-CARD-HTN-SECONDARY,可用于CDSS展示,247
疑似疾病识别,1,Symptom、Sign,0,老年高血压,,DIS-CARD-HT-ELDERLY,可展示但需补强,59
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,老年高血压,,DIS-CARD-HT-ELDERLY,可用于CDSS展示,59
鉴别诊断,0,DifferentialDiagnosis,0,老年高血压,,DIS-CARD-HT-ELDERLY,缺口,59
推荐检查,4,Exam、ExamIndicator,0,老年高血压,,DIS-CARD-HT-ELDERLY,可用于CDSS展示,59
推荐检验,5,LabTest、LabTestIndicator,0,老年高血压,,DIS-CARD-HT-ELDERLY,可用于CDSS展示,59
风险分层,0,RiskStratification,0,老年高血压,,DIS-CARD-HT-ELDERLY,缺口,59
治疗方案,3,TreatmentPlan、RecommendationStatement,0,老年高血压,,DIS-CARD-HT-ELDERLY,可用于CDSS展示,59
药物推荐,7,Medication,0,老年高血压,,DIS-CARD-HT-ELDERLY,可用于CDSS展示,59
手术/操作推荐,0,Procedure,0,老年高血压,,DIS-CARD-HT-ELDERLY,缺口,59
禁忌与风险预警,3,Contraindication、ClinicalRule,0,老年高血压,,DIS-CARD-HT-ELDERLY,可用于CDSS展示,59
随访,1,FollowUp,0,老年高血压,,DIS-CARD-HT-ELDERLY,可展示但需补强,59
预后/预防,1,Prognosis、Prevention,0,老年高血压,,DIS-CARD-HT-ELDERLY,可展示但需补强,59
并发症管理,5,Complication,0,老年高血压,,DIS-CARD-HT-ELDERLY,可用于CDSS展示,59
疑似疾病识别,2,Symptom、Sign,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可展示但需补强,15
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可用于CDSS展示,15
鉴别诊断,0,DifferentialDiagnosis,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,缺口,15
推荐检查,4,Exam、ExamIndicator,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可用于CDSS展示,15
推荐检验,2,LabTest、LabTestIndicator,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可展示但需补强,15
风险分层,0,RiskStratification,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,缺口,15
治疗方案,1,TreatmentPlan、RecommendationStatement,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可展示但需补强,15
药物推荐,3,Medication,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可用于CDSS展示,15
手术/操作推荐,0,Procedure,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,缺口,15
禁忌与风险预警,3,Contraindication、ClinicalRule,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可用于CDSS展示,15
随访,1,FollowUp,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可展示但需补强,15
预后/预防,1,Prognosis、Prevention,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可展示但需补强,15
并发症管理,3,Complication,0,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,可用于CDSS展示,15
疑似疾病识别,2,Symptom、Sign,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,可展示但需补强,42
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
鉴别诊断,0,DifferentialDiagnosis,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
推荐检查,0,Exam、ExamIndicator,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
推荐检验,1,LabTest、LabTestIndicator,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,可展示但需补强,42
风险分层,0,RiskStratification,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
治疗方案,0,TreatmentPlan、RecommendationStatement,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
药物推荐,2,Medication,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,可展示但需补强,42
手术/操作推荐,0,Procedure,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
禁忌与风险预警,0,Contraindication、ClinicalRule,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
随访,0,FollowUp,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
预后/预防,0,Prognosis、Prevention,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
并发症管理,0,Complication,0,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,缺口,42
疑似疾病识别,1,Symptom、Sign,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可展示但需补强,19
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可用于CDSS展示,19
鉴别诊断,0,DifferentialDiagnosis,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,缺口,19
推荐检查,1,Exam、ExamIndicator,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可展示但需补强,19
