文件名,规范名,目录,来源目录类型,建议疾病大类,文件大小MB,最后修改时间,是否已解析登记,登记文件名,登记来源文件数,登记来源示例,下一步动作
心力衰竭患者利尿剂抵抗诊断及管理中国专家共识.pdf,心力衰竭患者利尿剂抵抗诊断及管理中国专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,心力衰竭,1.53,2025-03-31 20:26:06,是,心力衰竭患者利尿剂抵抗诊断及管理中国专家共识.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心力衰竭药物治疗相关高钾血症防治专家共识2024.pdf,心力衰竭药物治疗相关高钾血症防治专家共识2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,心力衰竭,1.13,2025-03-31 20:26:48,是,心力衰竭药物治疗相关高钾血症防治专家共识2024.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心原性休克诊断和治疗中国专家共识(2018).pdf,心原性休克诊断和治疗中国专家共识2018,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,待人工归类,0.97,2021-07-07 07:34:12,是,心原性休克诊断和治疗中国专家共识(2018).pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_已建疾病大类补充解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心房颤动节律控制药物规范应用专家共识2023.pdf,心房颤动节律控制药物规范应用专家共识2023,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,心律失常,2.27,2025-07-14 08:39:16,是,心房颤动节律控制药物规范应用专家共识2023.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心脏瓣膜外科人工瓣膜选择中国专家共识.pdf,心脏瓣膜外科人工瓣膜选择中国专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,瓣膜病,1.45,2025-07-14 08:41:36,是,心脏瓣膜外科人工瓣膜选择中国专家共识.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
慢性心力衰竭芪苈强心临床应用的专家共识2024.pdf,慢性心力衰竭芪苈强心临床应用的专家共识2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,心力衰竭,1.51,2025-03-31 20:35:06,是,慢性心力衰竭芪苈强心临床应用的专家共识2024.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
老年人静脉血栓栓塞症防治中国专家共识_吴洲鹏.pdf,老年人静脉血栓栓塞症防治中国专家共识吴洲鹏,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,待人工归类,1.86,2025-04-02 21:24:06,是,老年人静脉血栓栓塞症防治中国专家共识_吴洲鹏.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_已建疾病大类补充解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
老年冠心病慢病管理指南_王杨淦.pdf,老年冠心病慢病管理指南王杨淦,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,冠心病,0.54,2025-07-14 08:50:16,是,老年冠心病慢病管理指南_王杨淦.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
高龄卧床高危静脉血栓栓塞症防治中国专家共识.pdf,高龄卧床高危静脉血栓栓塞症防治中国专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,待人工归类,0.48,2025-04-02 21:12:18,是,高龄卧床高危静脉血栓栓塞症防治中国专家共识.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_已建疾病大类补充解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
_中国 普通外科围手术期病人血液管理中国专家共识（2025）.pdf,中国普通外科围手术期病人血液管理中国专家共识2025,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理,诊疗指南目录,待人工归类,1.44,2025-08-26 09:19:05,是,_中国 普通外科围手术期病人血液管理中国专家共识（2025）.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
【用药助手】2015年抗菌药物临床应用指导原则.pdf,用药助手2015年抗菌药物临床应用指导原则,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理,诊疗指南目录,待人工归类,0.71,2025-08-26 10:22:10,是,【用药助手】2015年抗菌药物临床应用指导原则.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
中国 围手术期患者血液管理指南 WST 796-2022.pdf,中国围手术期患者血液管理指南wst7962022,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理,诊疗指南目录,待人工归类,0.23,2025-08-26 09:19:21,是,中国 围手术期患者血液管理指南 WST 796-2022.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心脏手术白蛋白使用专家共识 2022.pdf,心脏手术白蛋白使用专家共识2022,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理,诊疗指南目录,待人工归类,0.28,2025-08-26 09:07:37,是,心脏手术白蛋白使用专家共识 2022.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
EACTS-STS主动脉急慢性综合征诊疗指南（2024）.pdf,eactssts主动脉急慢性综合征诊疗指南2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\夹层动脉瘤,诊疗指南目录,主动脉与外周动脉疾病,11.36,2025-08-25 15:34:27,是,EACTS-STS主动脉急慢性综合征诊疗指南（2024）.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_主动脉与外周动脉疾病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
中国 Stanford B 型主动脉夹层诊断和治疗2022.pdf,中国stanfordb型主动脉夹层诊断和治疗2022,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\夹层动脉瘤,诊疗指南目录,主动脉与外周动脉疾病,3.83,2024-03-28 20:51:26,是,中国 Stanford B 型主动脉夹层诊断和治疗2022.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_主动脉与外周动脉疾病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
中国 腹主动脉瘤诊断和治疗中国专家共识（2022版）.pdf,中国腹主动脉瘤诊断和治疗中国专家共识2022版,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\夹层动脉瘤,诊疗指南目录,主动脉与外周动脉疾病,3.54,2024-12-19 17:25:12,是,中国 腹主动脉瘤诊断和治疗中国专家共识（2022版）.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_主动脉与外周动脉疾病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
AHA科学声明：使用心室辅助装置患者高血压的管理（2022）.pdf,aha科学声明使用心室辅助装置患者高血压的管理2022,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助,诊疗指南目录,高血压,0.32,2025-08-26 08:39:02,否,,0,,进入未解析PDF候选池
EHRA：连续血流左心室辅助装置患者心律失常的药物治疗和导管消融治疗（2024）.pdf,ehra连续血流左心室辅助装置患者心律失常的药物治疗和导管消融治疗2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助,诊疗指南目录,心律失常,9.79,2025-08-26 08:39:55,否,,0,,进入未解析PDF候选池
ESC指南：右心衰与左心室辅助装置-术前，围手术期和术后管理策略 2024.pdf,esc指南右心衰与左心室辅助装置术前围手术期和术后管理策略2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助,诊疗指南目录,心力衰竭,1.43,2025-08-26 08:39:29,否,,0,,进入未解析PDF候选池
