code,duplicate_replaced_by,entity_type,name,node_element_id,relation_count
MED-CARD-STD-9BB6ABC99A,MED-CARD-EAA01CFD434E,Medication,氯吡格雷,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43733,557
EXAM-CARD-09DFFB573658,EXAM-CMR,Exam,CMR,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46927,549
SYM-CARD-0ACC45EF4E60,SYM-CARD-0ACC45EF4E60,Symptom,乏力,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25782,530
"['RF-CARD-DE0A9F1FE2C8', 'RISKCOMP-RISK-CARD-BD6FBD0D2712-高血压', 'RISKCOMP-RISK-CARD-E21D88A4688D-高血压']",RF-CARD-DE0A9F1FE2C8,RiskFactor,高血压,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25729,495
EXAM-CAG,EXAM-CAG,Exam,冠状动脉造影,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25497,487
MED-CARD-STD-E03DF8E3FD,MED-CARD-00A158EBF21E,Medication,替格瑞洛,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43734,485
SIGN-CARD-TEXT-C0F47862DF,SIGN-CARD-TEXT-C0F47862DF,Sign,心动过缓,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25775,439
LAB-CARD-A9EC1D4DA037,LAB-CARD-A9EC1D4DA037,LabTest,心肌肌钙蛋白,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25593,410
MED-CARD-TEXT-28E925C6DE,MED-CARD-TEXT-28E925C6DE,Medication,钙通道阻滞剂,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25623,405
MED-CARD-9F606AC80BFD,MED-CARD-9F606AC80BFD,Medication,阿司匹林,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25614,403
SYM-CARD-6DA3580C8B73,SYM-CARD-6DA3580C8B73,Symptom,头晕,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25785,380
MED-CARD-STD-C685CE7163,MED-CARD-C685CE7163F5,Medication,维拉帕米,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43746,289
COMP-CARD-2D4A7476D746,COMP-CARD-2D4A7476D746,Complication,心源性休克,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26221,268
EXAM-CARD-F60922D428D5,EXAM-CARD-F60922D428D5,Exam,冠状动脉CT血管成像,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25505,265
EXAM-CARD-F6AAC5622DEA,EXAM-CARD-TEXT-9A031190AE,Exam,CT,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46938,258
SIGN-CARD-52CC24CD4C33,SIGN-CARD-52CC24CD4C33,Sign,水肿,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25755,256
SYM-CARD-0039E284D715,SYM-CARD-0039E284D715,Symptom,胸闷,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25781,244
LAB-CARD-AAA739D91A3A,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B,LabTest,BNP,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46968,243
CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595,LabTest,肌钙蛋白,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36849,237
SIGN-CARD-92548DA98265,SIGN-CARD-92548DA98265,Sign,心脏杂音,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25760,216
