序号,疾病大类,疾病编码,疾病名称,诊断角色,标准诊断编码,CDSS字典ID,标准身份状态,证据数,指南节点数,正式推荐数,正式推荐主来源数,教材来源名称,指南/PDF来源名称,页码/位置,缺口原因
39,心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,clinical_subtype,,,,147,12,3,1,,中国心力衰竭诊断和治疗指南2024.pdf,2；25,
40,心力衰竭,DIS-CARD-HF-LEFT,左心衰竭,independent_disease,,,,140,8,3,1,,中国心力衰竭诊断和治疗指南2024.pdf,16；24,
41,心力衰竭,DIS-CARD-HF-GENERAL,心力衰竭,broad_diagnosis,,,,2090,19,0,0,,,,正式推荐为0
42,心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,clinical_subtype,,,,27,1,3,1,,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,5；9；10,
43,心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭,clinical_subtype,,,,154,12,4,3,,中国心力衰竭诊断和治疗指南2024.pdf；心力衰竭药物治疗相关高钾血症防治专家共识2024.pdf；【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,20；5；7,
44,心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭,clinical_subtype,,,,190,13,3,2,,中国心力衰竭诊断和治疗指南2024.pdf；慢性心力衰竭芪苈强心临床应用的专家共识2024.pdf,6；5,
45,心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,clinical_subtype,,,,21,1,3,1,,中国透析患者慢性心力衰竭管理指南 2022.pdf,6；9,
46,心包疾病,DIS-CARD-PERICARDITIS,心包炎,broad_diagnosis,,,,140,7,0,0,,,,正式推荐为0
47,心包疾病,DIS-CARD-PERICARD-EFFUSION,心包积液及心脏压塞,independent_disease,,,,181,0,0,0,,,,指南来源为0；正式推荐为0
48,心包疾病,DIS-CARD-PERICARD-ACUTE,急性心包炎,clinical_subtype,,,,49,0,0,0,,,,指南来源为0；正式推荐为0
49,心包疾病,DIS-CARD-PERICARD-CONSTRICTIVE,缩窄性心包炎,clinical_subtype,,,,91,0,0,0,,,,指南来源为0；正式推荐为0
50,心律失常,DIS-CARD-ARR-BRUGADA,Brugada综合征,independent_disease,,,,75,5,3,1,,室性心律失常中国专家共识基层版.pdf,8；10,
51,起搏治疗相关疾病,DIS-CARD-ARR-AVB1,一度房室传导阻滞,independent_disease,,,,26,5,3,1,,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,
52,起搏治疗相关疾病,DIS-CARD-ARR-AVB3,三度房室传导阻滞,independent_disease,,,,72,6,3,1,,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,
53,起搏治疗相关疾病,DIS-CARD-ARR-AVB2,二度房室传导阻滞,independent_disease,,,,12,4,3,1,内科学(第8版).docx,,N/A,
54,心律失常,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,independent_disease,,,,81,4,3,1,,室性心律失常中国专家共识基层版.pdf,9；16,
55,心律失常,DIS-CARD-ARR-SVT,室上性心动过速,broad_diagnosis,,,,213,7,3,1,,室上性心动过速诊断及治疗中国专家共识(2021).pdf,35；37,
56,心律失常,DIS-CARD-ARR-VA,室性心律失常,independent_disease,,,,277,7,3,1,,室性心律失常中国专家共识基层版.pdf,18；2；10,
57,心律失常,DIS-CARD-ARR-PVC,室性期前收缩,independent_disease,,,,300,5,3,1,,室性心律失常中国专家共识基层版.pdf,8；2,
58,心律失常,DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,independent_disease,,,,66,5,3,1,,室性心律失常中国专家共识基层版.pdf,13；12；19,
59,心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,independent_disease,I49.000,6459f2fdecf1ccba589dd1134f154460,validated,451,5,3,1,,室性心律失常中国专家共识基层版.pdf,8,
60,心律失常,DIS-CARD-ARR-AFL,心房扑动,independent_disease,,,,358,8,3,1,,室上性心动过速诊断及治疗中国专家共识(2021).pdf,23,
61,心律失常,DIS-CARD-ARR-AF,心房颤动,independent_disease,,,,2296,18,4,2,,心房颤动诊断和治疗中国指南 2023.pdf；中国心房颤动管理指南（2025）.pdf,3；10；17；7,
62,心脏骤停与心脏性猝死,DIS-CARD-SCD-SUDDEN,心脏性猝死,independent_disease,,,,485,5,2,1,,室性心律失常中国专家共识基层版.pdf,4；1,
63,心脏骤停与心脏性猝死,DIS-CARD-SCD-ARREST,心脏骤停,independent_disease,,,,334,5,2,1,,室性心律失常中国专家共识基层版.pdf,9；16,
64,起搏治疗相关疾病,DIS-CARD-ARR-AVB,房室传导阻滞,independent_disease,,,,445,6,3,2,《内科学（第10版）》.pdf,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,317；4,
65,心律失常,DIS-CARD-ARR-AVRT,房室折返性心动过速,independent_disease,,,,124,7,3,1,,室上性心动过速诊断及治疗中国专家共识(2021).pdf,29；15,
66,心律失常,DIS-CARD-ARR-AVNRT,房室结折返性心动过速,independent_disease,,,,101,7,3,1,,室上性心动过速诊断及治疗中国专家共识(2021).pdf,5；39；27,
67,心律失常,DIS-CARD-ARR-AT,房性心动过速,independent_disease,,,,293,7,3,1,,室上性心动过速诊断及治疗中国专家共识(2021).pdf,4；34；18,
68,心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,independent_disease,,,,647,5,4,1,,室性心律失常中国专家共识基层版.pdf,4；5,
69,心律失常,DIS-CARD-ARR-ERS,早期复极综合征,independent_disease,,,,29,0,0,0,,,,指南来源为0；正式推荐为0
70,起搏治疗相关疾病,DIS-CARD-ARR-BBB,束支传导阻滞,independent_disease,,,,102,5,3,1,《内科学（第10版）》.pdf,,313；224,
71,心律失常,DIS-CARD-ARR-SQTS,短QT间期综合征,independent_disease,,,,24,5,3,1,,室性心律失常中国专家共识基层版.pdf,8；16,
72,起搏治疗相关疾病,DIS-CARD-ARR-SB,窦性心动过缓,independent_disease,,,,163,5,3,2,《内科学（第10版）》.pdf,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,228；222；4,
73,心律失常,DIS-CARD-ARR-SINUS,窦性心律失常,independent_disease,,,,23,0,0,0,,,,指南来源为0；正式推荐为0
74,起搏治疗相关疾病,DIS-CARD-ARR-SAB,窦房传导阻滞,independent_disease,,,,26,3,3,2,《内科学（第10版）》.pdf；内科学(第8版).docx,,228；222；N/A,
75,起搏治疗相关疾病,DIS-CARD-ARR-SND,窦房结功能障碍,independent_disease,,,,121,5,3,1,《内科学（第10版）》.pdf,,228；378；231,
