疾病大类,疾病编码,疾病名称,来源名称,来源类型,页码/位置
心脏骤停与心脏性猝死,DIS-CARD-SCD-SUDDEN,心脏性猝死,室性心律失常中国专家共识基层版.pdf,指南/文献,4；1
心脏骤停与心脏性猝死,DIS-CARD-SCD-ARREST,心脏骤停,室性心律失常中国专家共识基层版.pdf,指南/文献,9；16
起搏治疗相关疾病,DIS-CARD-ARR-AVB,房室传导阻滞,《内科学（第10版）》.pdf,教材,317；4
起搏治疗相关疾病,DIS-CARD-ARR-AVB,房室传导阻滞,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,指南/文献,317；4
心律失常,DIS-CARD-ARR-AVRT,房室折返性心动过速,室上性心动过速诊断及治疗中国专家共识(2021).pdf,指南/文献,29；15
心律失常,DIS-CARD-ARR-AVNRT,房室结折返性心动过速,室上性心动过速诊断及治疗中国专家共识(2021).pdf,指南/文献,5；39；27
心律失常,DIS-CARD-ARR-AT,房性心动过速,室上性心动过速诊断及治疗中国专家共识(2021).pdf,指南/文献,4；34；18
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,室性心律失常中国专家共识基层版.pdf,指南/文献,4；5
起搏治疗相关疾病,DIS-CARD-ARR-BBB,束支传导阻滞,《内科学（第10版）》.pdf,教材,313；224
心律失常,DIS-CARD-ARR-SQTS,短QT间期综合征,室性心律失常中国专家共识基层版.pdf,指南/文献,8；16
起搏治疗相关疾病,DIS-CARD-ARR-SB,窦性心动过缓,《内科学（第10版）》.pdf,教材,228；222；4
起搏治疗相关疾病,DIS-CARD-ARR-SB,窦性心动过缓,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,指南/文献,228；222；4
起搏治疗相关疾病,DIS-CARD-ARR-SAB,窦房传导阻滞,《内科学（第10版）》.pdf,教材,228；222；N/A
起搏治疗相关疾病,DIS-CARD-ARR-SAB,窦房传导阻滞,内科学(第8版).docx,教材,228；222；N/A
起搏治疗相关疾病,DIS-CARD-ARR-SND,窦房结功能障碍,《内科学（第10版）》.pdf,教材,228；378；231
起搏治疗相关疾病,DIS-CARD-ARR-BRADY,缓慢性心律失常,内科学(第8版).docx,教材,N/A；4
起搏治疗相关疾病,DIS-CARD-ARR-BRADY,缓慢性心律失常,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,指南/文献,N/A；4
心律失常,DIS-CARD-ARR-LQTS,长QT间期综合征,室性心律失常中国专家共识基层版.pdf,指南/文献,4；14；10；17
心律失常,DIS-CARD-ARR-NSVT,非持续性室性心动过速,室性心律失常中国专家共识基层版.pdf,指南/文献,4；5
心律失常,DIS-CARD-ARR-WPW,预激综合征,室上性心动过速诊断及治疗中国专家共识(2021).pdf,指南/文献,29；37；36
心肌病,DIS-CARD-CM-ATRIAL,心房心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,29
心肌病,DIS-CARD-CM-DCM,扩张型心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,32；16
心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,22；5
心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,26；9
心肌病,DIS-CARD-CM-HCM,肥厚型心肌病,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,指南/文献,13；15；16
心肌病,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,18
心肌病,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,20
心肌病,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,20
心肌病,DIS-CARD-CM-ACM,致心律失常性心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,32；20
心肌病,DIS-CARD-CM-RCM,限制型心肌病,中国心肌病综合管理指南2025.pdf,指南/文献,17；32
心肌病,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,ESC指南：心肌病的管理2023.pdf,指南/文献,66
