rule_code,rule_name,disease_code,disease,selected_evidence_code,selected_evidence_name,score,keywords,matched_keywords,status,evidence_excerpt
RULE-CDSS-CAD-SILENT-01-01-SCREEN,隐匿性冠心病筛查规则,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,EVD-TB-9327FDF6E778000FB760-ISCHEMIA,《内科学（第10版）》.pdf 第273页证据（SEG-DOC-C0BB559FA2C8448A-273-TB-00072-ISCHEMIA）,9,风险/分层/GRACE/TIMI/Killip/高危/危险/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血,危险/检查/筛查/评估/负荷/影像/缺血,linked,【诊断】1. 发病特点 隐匿型冠心病（latentcoronaryheartdisease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血ECG表现可见于静息时，也可在负荷状态下才出现，常为动态ECG记录所发现，也可为各种影像学检查所证实。2. 临床表现 可分为三种类型：①有心肌缺血客观证据，但无心绞痛症状；②曾有过心肌梗死病史
RULE-CDSS-CAD-SILENT-02-01-PREVENT,隐匿性冠心病预防规则,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,EVD-TB-9327FDF6E778000FB760-ISCHEMIA,《内科学（第10版）》.pdf 第273页证据（SEG-DOC-C0BB559FA2C8448A-273-TB-00072-ISCHEMIA）,6,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/二级预防/出院/随访/预防/他汀/抗血小板,诊断/缺血/预防/他汀,linked,【诊断】1. 发病特点 隐匿型冠心病（latentcoronaryheartdisease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血ECG表现可见于静息时，也可在负荷状态下才出现，常为动态ECG记录所发现，也可为各种影像学检查所证实。2. 临床表现 可分为三种类型：①有心肌缺血客观证据，但无心绞痛症状；②曾有过心肌梗死病史
RULE-CDSS-CAD-OLDMI-01-01-ASSESS,陈旧性心梗远期评估规则,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,EVD-031BA794407F74F55B8B-MI,STEMI CN 2019.pdf 第14页证据（SEG-DOC-955DCDB8BC81606E-14-GL-00064-MI）,9,二级预防/出院/随访/预防/他汀/抗血小板/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血,二级预防/出院/预防/检查/评估/负荷,linked,肌梗死、既往有陈旧性心肌梗死、糖尿病、吸烟、肾最佳药物治疗后6~12周再次评估心脏功能和猝死功能不全和生物标志物持续升高。推荐使用全球年以上风险。对最佳药物治疗无效且预期寿命1急性冠状动脉事件登记（GRACE）评分进行风险的症状性心力衰竭（NYHA心功能Ⅱ~Ⅲ）及LVEF≤评估［54］。35%的患者，建议植入ICD（Ⅰ，A）。STEMI后40d患者均应在出院
RULE-CDSS-CAD-OLDMI-02-01-PREVENT,陈旧性心梗二级预防规则,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,EVD-00500E56838521D1853C-MI,冠心病双联抗血小板治疗中国专家共识.pdf 第10页证据（SEG-DOC-AFBC49A750345874-10-GL-00052-MI）,7,二级预防/出院/随访/预防/他汀/抗血小板,随访/预防/抗血小板,linked,个月证据并不多。41.8%为SCAD患者（n=1250）［78］，均证实1~3非血运重建的ACS患者，相关的RCT个月，与的患者无基线血运重建史，约DAPT后改为单用P2Y12受体拮抗剂12CURE研究中，82%个月组相比可减少出血发生率，且抗的患者研究期间未进行血运重建，研究结果显DAPT应用1264%缺血效果无差异。示阿司匹林联合氯吡格雷治疗较阿司匹林单
RULE-CDSS-CAD-STEMI-04-01-ANTITHROMBOTIC,STEMI抗栓治疗规则,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EVD-TB-CD9F5A720D32CF35BC23-STEMI,《内科学（第10版）》.pdf 第286页证据（SEG-DOC-C0BB559FA2C8448A-286-TB-00147-STEMI）,24,风险/分层/GRACE/TIMI/Killip/高危/危险/抗栓/抗血小板/抗凝/出血/禁忌/阿司匹林/P2Y12/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/侵入策略/药物/治疗/适应证/心绞痛,风险/TIMI/抗血小板/抗凝/出血/禁忌/阿司匹林/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/药物/治疗/适应证,linked,望减慢心率的病人。（三） 抗血小板治疗 联合应用包括阿司匹林和ADP受体拮抗剂在内的口服抗血小板药物，负荷剂量后给予维持剂量。静脉应用GPⅡb/Ⅲa受体拮抗剂主要用于接受直接PCI的病人，术中使用。STEMI病人抗血小板药物选择和用法与NSTEACS相同，见本节的UA/NSTEMI部分。（四） 抗凝治疗 除非有禁忌，所有STEMI病人无论是否采用溶栓治疗，均
RULE-CDSS-CAD-STEMI-03-01-PCI,STEMI急诊PCI优先规则,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EVD-TB-FA6F4156D6A782A15AC3-STEMI,《内科学（第10版）》.pdf 第275页证据（SEG-DOC-C0BB559FA2C8448A-275-TB-00098-STEMI）,16,风险/分层/GRACE/TIMI/Killip/高危/危险/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/侵入策略/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血,风险/分层/GRACE/危险/血运重建/冠脉造影/检查/评估/负荷/影像/缺血,linked,改变，也可以根据临床表现作出UA的诊断。2. 连续心电监护 一过性急性心肌缺血并不一定表现为胸痛，出现胸痛前就可发生心肌缺血。连续心电监测可发现无症状或心绞痛发作时ST段改变。连续24小时心电监测发现有85%～90%的心肌缺血可不伴有心绞痛。3. 冠脉造影和其他侵入性检查 冠脉造影能提供详细的血管相关信息，可明确诊断、指导治疗并评价预后。在长期稳定型心绞痛基
RULE-CDSS-CAD-STEMI-01-01-ECG-TROP,STEMI疑诊评估规则,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EVD-TB-FA6F4156D6A782A15AC3-STEMI,《内科学（第10版）》.pdf 第275页证据（SEG-DOC-C0BB559FA2C8448A-275-TB-00098-STEMI）,13,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/检查/筛查/评估/冠状动脉CTA/负荷/影像,心电图/肌钙蛋白/诊断/胸痛/ST段/缺血/检查/评估/负荷/影像,linked,改变，也可以根据临床表现作出UA的诊断。2. 连续心电监护 一过性急性心肌缺血并不一定表现为胸痛，出现胸痛前就可发生心肌缺血。连续心电监测可发现无症状或心绞痛发作时ST段改变。连续24小时心电监测发现有85%～90%的心肌缺血可不伴有心绞痛。3. 冠脉造影和其他侵入性检查 冠脉造影能提供详细的血管相关信息，可明确诊断、指导治疗并评价预后。在长期稳定型心绞痛基
RULE-CDSS-CAD-STEMI-05-01-FOLLOW,STEMI二级预防规则,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EVD-TB-B502521FE96130729F36-STEMI,《内科学（第10版）》.pdf 第278页证据（SEG-DOC-C0BB559FA2C8448A-278-TB-00121-STEMI）,7,二级预防/出院/随访/预防/他汀/抗血小板,二级预防/出院/预防/他汀,linked,物作为首选，建议使用最大可耐受剂量。单用他汀类药物不能达标或不耐受者，可以联合使用胆固醇吸收抑制剂，或PCSK9抑制剂，如果病人基线LDL-C水平较高，预估他汀类药物单药不能达标者，也可起始就采用联合降脂方案。5. RAAS抑制剂 长期应用RAAS抑制剂（包括ACEI、ARB或ARNI）能降低心血管事件发生率，如果不存在低血压或其他已知的禁忌证，应该在24小
RULE-CDSS-CAD-AMI-02-01-REPERFUSION,AMI再灌注/PCI评估规则,DIS-CARD-CAD-AMI,急性心肌梗死,EVD-TB-FA6F4156D6A782A15AC3-AMI,《内科学（第10版）》.pdf 第275页证据（SEG-DOC-C0BB559FA2C8448A-275-TB-00097-AMI）,16,风险/分层/GRACE/TIMI/Killip/高危/危险/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/侵入策略/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血,风险/分层/GRACE/危险/血运重建/冠脉造影/检查/评估/负荷/影像/缺血,linked,改变，也可以根据临床表现作出UA的诊断。2. 连续心电监护 一过性急性心肌缺血并不一定表现为胸痛，出现胸痛前就可发生心肌缺血。连续心电监测可发现无症状或心绞痛发作时ST段改变。连续24小时心电监测发现有85%～90%的心肌缺血可不伴有心绞痛。3. 冠脉造影和其他侵入性检查 冠脉造影能提供详细的血管相关信息，可明确诊断、指导治疗并评价预后。在长期稳定型心绞痛基
RULE-CDSS-CAD-AMI-03-01-PREVENT,AMI二级预防规则,DIS-CARD-CAD-AMI,急性心肌梗死,EVD-CBA9B6F667D77E6D322F-AMI,老年冠心病慢病管理指南_王杨淦.pdf 第5页证据（SEG-DOC-F0E1ED198C99B706-5-GL-00010-AMI）,10,二级预防/出院/随访/预防/他汀/抗血小板,二级预防/预防/他汀/抗血小板,linked,抗血小板药物联用，并将ＩＮＲ监测保持在下限（Ｂ１）。对于确诊为ＡＣＳ首次使用抗栓药物时，在评估出４）新型口服抗凝剂（ｎｅｗ－ｏｒａｌ　ａｎｔｉｃｏａｇｕｌａｎｔｓ，血风险后，应考虑给予双联抗血小板负荷剂量治疗，ＮＯＡＣ）是不依赖维生素Ｋ的抗凝药物，分为凝血因立即嚼服３００ｍｇ阿司匹林；对于长期服用阿司匹林子Ⅹａ抑制剂（利伐沙班、阿度沙班等）和凝血酶抑制的患者
RULE-CDSS-CAD-AMI-01-01-DIAG,AMI诊断确认规则,DIS-CARD-CAD-AMI,急性心肌梗死,EVD-TB-FA6F4156D6A782A15AC3-AMI,《内科学（第10版）》.pdf 第275页证据（SEG-DOC-C0BB559FA2C8448A-275-TB-00097-AMI）,13,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/检查/筛查/评估/冠状动脉CTA/负荷/影像,心电图/肌钙蛋白/诊断/胸痛/ST段/缺血/检查/评估/负荷/影像,linked,改变，也可以根据临床表现作出UA的诊断。2. 连续心电监护 一过性急性心肌缺血并不一定表现为胸痛，出现胸痛前就可发生心肌缺血。连续心电监测可发现无症状或心绞痛发作时ST段改变。连续24小时心电监测发现有85%～90%的心肌缺血可不伴有心绞痛。3. 冠脉造影和其他侵入性检查 冠脉造影能提供详细的血管相关信息，可明确诊断、指导治疗并评价预后。在长期稳定型心绞痛基
RULE-CDSS-HF-HF-POST-MI-01-01-DIAG,心肌梗死后心力衰竭诊断确认阶段规则,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,EVD-77F054EE6AD0B1C96C66-MI,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf 第7页证据（SEG-DOC-F0DDA79BAB227E88-7-GL-00083-MI）,12,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/检查/筛查/评估/冠状动脉CTA/负荷/影像/心力衰竭/心衰/LVEF/利尿/ACEI/ARB,心力衰竭/心衰/LVEF/利尿/ACEI/ARB,linked,性心衰急性发作，应寻找导致心衰发作的诱因，并近期研究发现，血管紧张素受体脑啡肽酶抑制剂进行相应处理。（angiotensinreceptorneprilysininhibitor，ARNI）沙库6.1.3一般处理巴曲缬沙坦能有效逆转心脏重构，且效果优于ACEI包括体位选择（取半卧位或端坐位）、吸氧和镇和ARB。动物实验发现，沙库巴曲缬沙坦能改善静药物的使用。
RULE-CDSS-HF-HF-POST-MI-04-01-FOLLOW,心肌梗死后心力衰竭随访管理阶段规则,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,EVD-9A430381B5EF05D8D7B2-MI,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf 第6页证据（SEG-DOC-F0DDA79BAB227E88-6-GL-00072-MI）,20,风险/分层/GRACE/TIMI/Killip/高危/危险/二级预防/出院/随访/预防/他汀/抗血小板/药物/治疗/禁忌/适应证/心绞痛/心力衰竭/心衰/LVEF/利尿/ACEI/ARB,Killip/高危/危险/预防/他汀/抗血小板/药物/治疗/禁忌/心力衰竭/心衰/ACEI/ARB,linked,表2Killip心功能分级要点5：心梗后心衰的预防分级临床表现Ⅰ级无明显心力衰竭(1)尽早实现心肌再灌注：及早开通梗死相关Ⅱ级有心力衰竭，肺部啰音<50%肺野冠脉可挽救濒死心肌、缩小梗死心肌面积、减少Ⅲ级有急性肺水肿，全肺干啰音和大、中、小湿啰音心肌细胞的丢失，对于预防或延缓心衰的发生有Ⅳ级有心原性休克、不同程度或阶段的血流动力学变化重要作用，如早期药物或机
RULE-CDSS-HF-HF-POST-MI-03-01-TREAT,心肌梗死后心力衰竭治疗决策阶段规则,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,EVD-77F054EE6AD0B1C96C66-MI,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf 第7页证据（SEG-DOC-F0DDA79BAB227E88-7-GL-00083-MI）,17,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/风险/分层/GRACE/TIMI/Killip/高危/危险/检查/筛查/评估/冠状动脉CTA/负荷/影像/药物/治疗/禁忌/适应证/心绞痛/心力衰竭/心衰/LVEF/利尿/ACEI/ARB,风险/高危/药物/治疗/禁忌/心力衰竭/心衰/LVEF/利尿/ACEI/ARB,linked,性心衰急性发作，应寻找导致心衰发作的诱因，并近期研究发现，血管紧张素受体脑啡肽酶抑制剂进行相应处理。（angiotensinreceptorneprilysininhibitor，ARNI）沙库6.1.3一般处理巴曲缬沙坦能有效逆转心脏重构，且效果优于ACEI包括体位选择（取半卧位或端坐位）、吸氧和镇和ARB。动物实验发现，沙库巴曲缬沙坦能改善静药物的使用。
RULE-CDSS-HF-HF-POST-MI-02-01-RISK,心肌梗死后心力衰竭风险分层阶段规则,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,EVD-77F054EE6AD0B1C96C66-MI,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf 第7页证据（SEG-DOC-F0DDA79BAB227E88-7-GL-00083-MI）,14,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/风险/分层/GRACE/TIMI/Killip/高危/危险/心力衰竭/心衰/LVEF/利尿/ACEI/ARB,风险/高危/心力衰竭/心衰/LVEF/利尿/ACEI/ARB,linked,性心衰急性发作，应寻找导致心衰发作的诱因，并近期研究发现，血管紧张素受体脑啡肽酶抑制剂进行相应处理。（angiotensinreceptorneprilysininhibitor，ARNI）沙库6.1.3一般处理巴曲缬沙坦能有效逆转心脏重构，且效果优于ACEI包括体位选择（取半卧位或端坐位）、吸氧和镇和ARB。动物实验发现，沙库巴曲缬沙坦能改善静药物的使用。
RULE-CDSS-CAD-UA-03-01-TREAT,UA抗栓与侵入评估规则,DIS-CARD-CAD-UA,不稳定型心绞痛,EVD-TB-CD9F5A720D32CF35BC23-UA,《内科学（第10版）》.pdf 第286页证据（SEG-DOC-C0BB559FA2C8448A-286-TB-00145-UA）,26,风险/分层/GRACE/TIMI/Killip/高危/危险/抗栓/抗血小板/抗凝/出血/禁忌/阿司匹林/P2Y12/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/侵入策略/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血/药物/治疗/适应证/心绞痛,风险/TIMI/抗血小板/抗凝/出血/禁忌/阿司匹林/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/负荷/缺血/药物/治疗/适应证,linked,望减慢心率的病人。（三） 抗血小板治疗 联合应用包括阿司匹林和ADP受体拮抗剂在内的口服抗血小板药物，负荷剂量后给予维持剂量。静脉应用GPⅡb/Ⅲa受体拮抗剂主要用于接受直接PCI的病人，术中使用。STEMI病人抗血小板药物选择和用法与NSTEACS相同，见本节的UA/NSTEMI部分。（四） 抗凝治疗 除非有禁忌，所有STEMI病人无论是否采用溶栓治疗，均
