CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,7,Symptom、Sign,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
鉴别诊断,0,DifferentialDiagnosis,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,缺口,179
推荐检查,9,Exam、ExamIndicator,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
推荐检验,0,LabTest、LabTestIndicator,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,缺口,179
风险分层,1,RiskStratification,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可展示但需补强,179
治疗方案,4,TreatmentPlan、RecommendationStatement,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
药物推荐,4,Medication,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
手术/操作推荐,6,Procedure,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
禁忌与风险预警,4,Contraindication、ClinicalRule,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
随访,1,FollowUp,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可展示但需补强,179
预后/预防,1,Prognosis、Prevention,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可展示但需补强,179
并发症管理,4,Complication,0,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,可用于CDSS展示,179
疑似疾病识别,12,Symptom、Sign,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
鉴别诊断,6,DifferentialDiagnosis,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
推荐检查,5,Exam、ExamIndicator,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
推荐检验,2,LabTest、LabTestIndicator,0,室上性心动过速,,DIS-CARD-ARR-SVT,可展示但需补强,213
风险分层,0,RiskStratification,0,室上性心动过速,,DIS-CARD-ARR-SVT,缺口,213
治疗方案,5,TreatmentPlan、RecommendationStatement,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
药物推荐,6,Medication,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
手术/操作推荐,4,Procedure,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
禁忌与风险预警,4,Contraindication、ClinicalRule,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
