disease_code,disease_name,entity_type,name,node_codes,node_count
DIS-CARD-CAD-ICM,缺血性心肌病,Procedure,血运重建,"['CARD-SKELETON-20260709-PROCEDURE-04A901E627374E47', 'PROC-CARD-CADREM-ICM-12A7FC2FA4']",2
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,Exam,X线,"['CARD-SKELETON-20260709-EXAM-B66979D14041DD2B', 'EXAM-CARD-CADREM-NSTEMI-C78840F44A']",2
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,Exam,胸部X线,"['EXAM-CARD-CADREM-NSTEMI-D690076CB8', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,LabTest,肌钙蛋白,"['CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595', 'LAB-CARD-CADREM-NSTEMI-BE6E060391']",2
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,Exam,冠状动脉CT血管成像,"['EXAM-CARD-F60922D428D5', 'EXAM-CARD-CADREM-SILENT-ISCHEMIA-F60922D428']",2
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,Exam,冠状动脉造影,"['EXAM-CAG', 'EXAM-CARD-CADREM-SILENT-ISCHEMIA-ABF51FE8EB']",2
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,Exam,运动负荷试验,"['EXAM-CARD-241B4B0218DF', 'EXAM-CARD-CADREM-SILENT-ISCHEMIA-241B4B0218']",2
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,Procedure,血运重建,"['CARD-SKELETON-20260709-PROCEDURE-04A901E627374E47', 'PROC-CARD-CADREM-SILENT-ISCHEMIA-12A7FC2FA4']",2
DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,LabTest,血常规,"['LAB-CARD-CADREM-STABLE-ANGINA-3F8D27CB7E', 'LAB-CARD-3F8D27CB7EC9']",2
DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,LabTest,血脂,"['CARD-SKELETON-20260709-LABTEST-98464EDC80D81183', 'LAB-CARD-C59B64C19ADD']",2
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
