entityType,name,cnt,codes
FollowUp,死亡多发生在第一周内,2,"['CARD-SKELETON-FULL-20260709-FOLLOWUP-3C9D4A95EA59DB45', 'FU-CARD-CADREM-AMI-8F91C649B4']"
Medication,依普利酮,2,"['MED-CARD-567B7BD086FF', 'MED-CARD-31AF701C4FDE']"
Medication,利伐沙班,2,"['MED-CARD-38524B4E5194', 'MED-CARD-EEAD5526AA1A']"
Medication,华法林,2,"['MED-CARD-81B5F958C0F3', 'MED-CARD-B87D3CD0C528']"
Medication,单硝酸异山梨酯,2,"['MED-CARD-E54BB1F31556', 'MED-CARD-STD-44C6BCCC3D']"
Medication,卡维地洛,2,"['MED-CARD-AE13AC40D4CF', 'MED-CARD-STD-AE13AC40D4']"
Medication,厄贝沙坦,2,"['MED-CARD-DD02471EA40F', 'MED-CARD-STD-DD02471EA4']"
Medication,地高辛,2,"['MED-CARD-62498B0FBDC2', 'MED-CARD-STD-62498B0FBD']"
Medication,异丙肾上腺素,2,"['MED-CARD-669F94E52F61', 'MED-CARD-ISOPRENALINE']"
Medication,恩格列净,2,"['MED-CARD-A23B05CA197B', 'MED-CARD-STD-A23B05CA19']"
Medication,普拉格雷,2,"['MED-CARD-0D29A60A2A91', 'MED-CARD-STD-6B98598B0E']"
Medication,普萘洛尔,2,"['MED-CARD-968C1FB4A035', 'MED-CARD-STD-9146894909']"
Medication,替格瑞洛,2,"['MED-CARD-00A158EBF21E', 'MED-CARD-STD-E03DF8E3FD']"
Medication,比索洛尔,2,"['MED-CARD-2CF15595A00F', 'MED-CARD-STD-68380EE96C']"
Medication,氢氯噻嗪,2,"['MED-CARD-1088FBF6E4D7', 'MED-CARD-E094B2A32744']"
Medication,氯吡格雷,2,"['MED-CARD-EAA01CFD434E', 'MED-CARD-STD-9BB6ABC99A']"
Medication,硝苯地平,2,"['MED-CARD-CF59C1850151', 'MED-CARD-44713CFF40E7']"
Medication,硝酸异山梨酯,2,"['MED-CARD-BA676F93BC09', 'MED-CARD-STD-BA676F93BC']"
Medication,硝酸甘油,2,"['MED-CARD-CC1DDBE4EFA8', 'MED-CARD-STD-DE220086E9']"
Medication,美托洛尔,2,"['MED-CARD-C9175F150C3D', 'MED-CARD-STD-1691342E51']"
