disease,disease_code,plan,plan_code,direct_rel_type,direct_formal_ready,formal_rec_n,plan_downstream_n,plan_evidence_n,downstream_examples
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
心室扑动与心室颤动,DIS-CARD-ARR-VF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
心室扑动与心室颤动,DIS-CARD-ARR-VF,心室扑动与心室颤动治疗方案,PLAN-CARD-F4DFEE3BA390,has_treatment_plan,False,0,31,77,"['洋地黄类药物', '美托洛尔', 'β受体拮抗剂', '钾剂', '抗心律失常药物']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,急救复苏,PLAN-CARD-C23D6266C767,has_treatment_plan,False,0,2,10,"['心肺复苏', '电除颤']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,抗心律失常药物,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,has_treatment_plan,False,0,26,2,"['美托洛尔', '抗心律失常药物', '起搏器植入', '导管消融', 'β受体阻滞剂']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,特别是引起QT间期延长与尖端扭转型室速的药物,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,has_treatment_plan,False,0,26,2,"['美托洛尔', '心脏再同步治疗', '射频消融术', '钙通道阻滞剂', '利多卡因']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
心室扑动与心室颤动,DIS-CARD-ARR-VF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
心房扑动,DIS-CARD-ARR-AFL,同步电复律,PLAN-CARD-108E680ADD4F,has_treatment_plan,False,0,1,107,['同步直流电复律']
心房扑动,DIS-CARD-ARR-AFL,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
心房扑动,DIS-CARD-ARR-AFL,导管消融,PLAN-CARD-5C9E41087192,has_treatment_plan,False,0,3,334,"['房颤导管消融', '射频导管消融', '肺静脉隔离']"
心房扑动,DIS-CARD-ARR-AFL,心房扑动治疗方案,PLAN-CARD-85C337BCB2D5,has_treatment_plan,False,0,29,91,"['β受体拮抗剂', '血管紧张素Ⅱ受体拮抗剂', '维拉帕米', '地高辛', '胺碘酮']"
心房扑动,DIS-CARD-ARR-AFL,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
心房颤动,DIS-CARD-ARR-AF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
心房颤动,DIS-CARD-ARR-AF,导管消融,PLAN-CARD-5C9E41087192,has_treatment_plan,False,0,3,334,"['房颤导管消融', '射频导管消融', '肺静脉隔离']"
心房颤动,DIS-CARD-ARR-AF,左心耳封堵,PLAN-CARD-8648D7D7CF5C,has_treatment_plan,False,0,1,49,['左心耳封堵术']
心房颤动,DIS-CARD-ARR-AF,心室率控制,PLAN-CARD-946E8629999F,has_treatment_plan,False,0,4,88,"['β受体阻滞剂', '维拉帕米', '地高辛', '地尔硫卓']"
心房颤动,DIS-CARD-ARR-AF,心房颤动治疗方案,PLAN-CARD-0315A5E784A6,has_treatment_plan,False,0,52,375,"['抗凝药物', '血管紧张素Ⅱ受体拮抗剂', '维拉帕米', '氯吡格雷', '地高辛']"
心房颤动,DIS-CARD-ARR-AF,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
心房颤动,DIS-CARD-ARR-AF,抗血小板治疗,PLAN-CARD-42FD049DCDB5,has_treatment_plan,False,0,1,596,['抗血小板药物']
心房颤动,DIS-CARD-ARR-AF,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
心房颤动,DIS-CARD-ARR-AF,综合危险因素管理,PLAN-CARD-0C511F6A9FF0,has_treatment_plan,False,0,2,5,"['危险因素管理', '生活方式干预']"
心房颤动,DIS-CARD-ARR-AF,节律控制,PLAN-CARD-40AB27F53C05,has_treatment_plan,False,0,8,72,"['决奈达隆', '索他洛尔', '氟卡尼', '普罗帕酮', '胺碘酮']"
心房颤动,DIS-CARD-ARR-AF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
心房颤动,DIS-CARD-ARR-AF,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
心肌梗死后心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭治疗方案,PLAN-CARD-019D9CFB289A,has_treatment_plan,False,0,4,4,"['β受体阻滞剂', '血管紧张素转换酶抑制剂', '血管紧张素Ⅱ受体阻滞剂', '心肌梗死后心力衰竭治疗路径']"
心肌梗死后综合征,DIS-CARD-CAD-POST-MI-SYNDROME,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
心肌炎,DIS-CARD-MYOCARDITIS,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
心肌炎,DIS-CARD-MYOCARDITIS,心肌炎治疗方案,PLAN-CARD-D00A6346C918,has_treatment_plan,,0,2,92,"['病因治疗', '支持治疗']"
心肌炎,DIS-CARD-MYOCARDITIS,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
心脏性猝死,DIS-CARD-SCD-SUDDEN,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
心脏性猝死,DIS-CARD-SCD-SUDDEN,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
心脏性猝死,DIS-CARD-SCD-SUDDEN,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
心脏性猝死,DIS-CARD-SCD-SUDDEN,心脏性猝死治疗方案,PLAN-CARD-B9AD52AAFDDB,has_treatment_plan,False,0,29,74,"['普萘洛尔', '美托洛尔', '索他洛尔', '普罗帕酮', '钾剂']"
心脏性猝死,DIS-CARD-SCD-SUDDEN,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
心脏性猝死,DIS-CARD-SCD-SUDDEN,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
心脏性猝死,DIS-CARD-SCD-SUDDEN,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
心脏瓣膜病,DIS-CARD-VHD,心脏瓣膜病治疗方案,PLAN-CARD-1E99D01836CB,has_treatment_plan,,0,2,82,"['经导管主动脉瓣置换术', '经导管二尖瓣缘对缘修复术']"
心脏骤停,DIS-CARD-SCD-ARREST,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
心脏骤停,DIS-CARD-SCD-ARREST,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
心脏骤停,DIS-CARD-SCD-ARREST,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
心脏骤停,DIS-CARD-SCD-ARREST,心脏骤停治疗方案,PLAN-CARD-D0001FDBBA7E,has_treatment_plan,False,0,26,58,"['普罗帕酮', '普萘洛尔', 'β受体阻滞剂', '硫酸镁', '胺碘酮']"
心脏骤停,DIS-CARD-SCD-ARREST,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
心脏骤停,DIS-CARD-SCD-ARREST,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
心脏骤停,DIS-CARD-SCD-ARREST,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
心脏骤停,DIS-CARD-SCD-ARREST,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
心血管神经症,DIS-CARD-NEUROSIS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
急性冠脉综合征,DIS-CARD-CAD-ACS,再灌注治疗,PLAN-CARD-3972CBC8228B,has_treatment_plan,False,0,2,362,"['溶栓药物', '经皮冠状动脉介入治疗']"
急性冠脉综合征,DIS-CARD-CAD-ACS,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
急性冠脉综合征,DIS-CARD-CAD-ACS,急性冠脉综合征治疗方案,PLAN-CARD-16BF65CB29FE,has_treatment_plan,False,0,1,126,['急性冠脉综合征治疗路径']
急性冠脉综合征,DIS-CARD-CAD-ACS,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
急性冠脉综合征,DIS-CARD-CAD-ACS,抗血小板治疗,PLAN-CARD-42FD049DCDB5,has_treatment_plan,False,0,1,596,['抗血小板药物']
急性冠脉综合征,DIS-CARD-CAD-ACS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
急性冠脉综合征,DIS-CARD-CAD-ACS,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
急性冠脉综合征,DIS-CARD-CAD-ACS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
急性心力衰竭,DIS-CARD-HF-AHF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
急性心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭治疗方案,PLAN-CARD-8DE84AB1F5CB,has_treatment_plan,False,0,3,49,"['袢利尿剂', '氧疗', '急性心力衰竭治疗路径']"
急性心力衰竭,DIS-CARD-HF-AHF,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
急性心肌梗死,DIS-CARD-CAD-AMI,再灌注治疗,PLAN-CARD-3972CBC8228B,has_treatment_plan,False,0,2,362,"['溶栓药物', '经皮冠状动脉介入治疗']"
急性心肌梗死,DIS-CARD-CAD-AMI,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
急性心肌梗死,DIS-CARD-CAD-AMI,急性心肌梗死治疗方案,PLAN-CARD-83DC54FD93C2,has_treatment_plan,False,0,1,159,['急性心肌梗死治疗路径']
急性心肌梗死,DIS-CARD-CAD-AMI,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
急性心肌梗死,DIS-CARD-CAD-AMI,抗血小板治疗,PLAN-CARD-42FD049DCDB5,has_treatment_plan,False,0,1,596,['抗血小板药物']
急性心肌梗死,DIS-CARD-CAD-AMI,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
急性心肌梗死,DIS-CARD-CAD-AMI,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
急性心肌梗死,DIS-CARD-CAD-AMI,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
急性心肌梗死,DIS-CARD-CAD-AMI,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎治疗方案,PLAN-CARD-369B4EDD8267,has_treatment_plan,,0,4,60,"['瓣膜置换术', '经皮介入治疗', '外科手术治疗', '经导管主动脉瓣置换术']"
感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
慢性冠脉综合征,DIS-CARD-CAD-CCS,慢性冠脉综合征治疗方案,PLAN-CARD-89D4C114E515,has_treatment_plan,False,0,1,57,['慢性冠脉综合征治疗路径']
慢性冠脉综合征,DIS-CARD-CAD-CCS,抗血小板治疗,PLAN-CARD-42FD049DCDB5,has_treatment_plan,False,0,1,596,['抗血小板药物']
慢性冠脉综合征,DIS-CARD-CAD-CCS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
慢性心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭治疗方案,PLAN-CARD-CDCF4B5B8556,has_treatment_plan,False,0,6,41,"['血管紧张素受体脑啡肽酶抑制剂', '钠-葡萄糖协同转运蛋白2抑制剂', '盐皮质激素受体拮抗剂', '袢利尿剂', 'β受体阻滞剂']"
慢性心力衰竭,DIS-CARD-HF-CHF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
慢性肾脏病合并高血压,DIS-CARD-HT-CKD,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
慢性血栓栓塞性肺动脉高压,DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压治疗方案,PLAN-CARD-1060AA354C61,has_treatment_plan,,0,3,53,"['利奥西呱', '肺动脉血栓内膜剥脱术', '经皮肺动脉球囊成形术']"
房室传导阻滞,DIS-CARD-ARR-AVB,也可见于电解质紊乱（如高钾血症）、药物中毒（如洋地黄中毒）及心脏手术损伤（心脏瓣膜手术、导管消融术等）,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-D355EC5DA6033AF6,has_treatment_plan,False,0,17,1,"['阿托品', '血管紧张素Ⅱ受体拮抗剂', '射频消融术', '经皮冠状动脉介入治疗', '血管紧张素转换酶抑制剂']"
房室传导阻滞,DIS-CARD-ARR-AVB,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
房室传导阻滞,DIS-CARD-ARR-AVB,心房和心室的节律由各自独立的起搏点控制,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-F0FFE784C9505FA2,has_treatment_plan,False,0,17,1,"['阿托品', '血管紧张素Ⅱ受体拮抗剂', '临时心脏起搏', '起搏器植入', '心脏再同步治疗']"
房室传导阻滞,DIS-CARD-ARR-AVB,房室传导阻滞治疗方案,PLAN-CARD-4902C4C10300,has_treatment_plan,False,0,19,71,"['血管紧张素Ⅱ受体拮抗剂', '阿托品', '醛固酮受体拮抗剂', '胺碘酮', '洋地黄类药物']"
房室传导阻滞,DIS-CARD-ARR-AVB,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
房室传导阻滞,DIS-CARD-ARR-AVB,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
房室传导阻滞,DIS-CARD-ARR-AVB,起搏治疗,PLAN-CARD-F7FB7035330D,has_treatment_plan,False,0,4,59,"['永久起搏器植入', '临时起搏', '心脏再同步治疗', '临时心脏起搏']"
房室折返性心动过速,DIS-CARD-ARR-AVRT,同步电复律,PLAN-CARD-108E680ADD4F,has_treatment_plan,False,0,1,107,['同步直流电复律']
房室折返性心动过速,DIS-CARD-ARR-AVRT,导管消融,PLAN-CARD-5C9E41087192,has_treatment_plan,False,0,3,334,"['房颤导管消融', '射频导管消融', '肺静脉隔离']"
房室折返性心动过速,DIS-CARD-ARR-AVRT,房室折返性心动过速治疗方案,PLAN-CARD-344A32B0714D,has_treatment_plan,False,0,15,37,"['腺苷', '维拉帕米', '胺碘酮', '伊布利特', '索他洛尔']"
房室折返性心动过速,DIS-CARD-ARR-AVRT,药物转复,PLAN-CARD-64B52A7B760E,has_treatment_plan,False,0,4,10,"['腺苷', '胺碘酮', '普罗帕酮', '伊布利特']"
房室折返性心动过速,DIS-CARD-ARR-AVRT,迷走神经刺激,PLAN-CARD-741F70867FDD,has_treatment_plan,False,0,2,36,"['Valsalva动作', '颈动脉窦按摩']"
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,同步电复律,PLAN-CARD-108E680ADD4F,has_treatment_plan,False,0,1,107,['同步直流电复律']
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,导管消融,PLAN-CARD-5C9E41087192,has_treatment_plan,False,0,3,334,"['房颤导管消融', '射频导管消融', '肺静脉隔离']"
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,房室结折返性心动过速治疗方案,PLAN-CARD-8EAEE6E3A5AC,has_treatment_plan,False,0,12,36,"['β受体阻滞剂', '维拉帕米', '普罗帕酮', '索他洛尔', '胺碘酮']"
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,迷走神经刺激,PLAN-CARD-741F70867FDD,has_treatment_plan,False,0,2,36,"['Valsalva动作', '颈动脉窦按摩']"
房性心动过速,DIS-CARD-ARR-AT,同步电复律,PLAN-CARD-108E680ADD4F,has_treatment_plan,False,0,1,107,['同步直流电复律']
房性心动过速,DIS-CARD-ARR-AT,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
房性心动过速,DIS-CARD-ARR-AT,导管消融,PLAN-CARD-5C9E41087192,has_treatment_plan,False,0,3,334,"['房颤导管消融', '射频导管消融', '肺静脉隔离']"
房性心动过速,DIS-CARD-ARR-AT,房性心动过速治疗方案,PLAN-CARD-6C7D6A045FA6,has_treatment_plan,False,0,22,72,"['β受体阻滞剂', '维拉帕米', '胺碘酮', '伊布利特', '普罗帕酮']"
房性心动过速,DIS-CARD-ARR-AT,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
房间隔缺损,DIS-CARD-ASD,房间隔缺损治疗方案,PLAN-CARD-8DBA8EC7FD95,has_treatment_plan,,0,4,62,"['阿司匹林', '外科手术治疗', '球囊成形术', '经皮介入治疗']"
房间隔缺损,DIS-CARD-ASD,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
扩张型心肌病,DIS-CARD-CM-DCM,扩张型心肌病治疗方案,PLAN-CARD-EF123C1AB63F,has_treatment_plan,False,0,28,61,"['血管紧张素Ⅱ受体拮抗剂', '美托洛尔', '比索洛尔', '卡维地洛', '螺内酯']"
扩张型心肌病,DIS-CARD-CM-DCM,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
扩张型心肌病,DIS-CARD-CM-DCM,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
持续性室性心动过速,DIS-CARD-ARR-VT,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
持续性室性心动过速,DIS-CARD-ARR-VT,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
持续性室性心动过速,DIS-CARD-ARR-VT,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
持续性室性心动过速,DIS-CARD-ARR-VT,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
持续性室性心动过速,DIS-CARD-ARR-VT,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
持续性室性心动过速,DIS-CARD-ARR-VT,持续性室性心动过速治疗方案,PLAN-CARD-47613024D1C5,has_treatment_plan,False,0,37,114,"['钙通道阻滞剂', '血管紧张素Ⅱ受体拮抗剂', '美托洛尔', '普萘洛尔', '洋地黄类药物']"
持续性室性心动过速,DIS-CARD-ARR-VT,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
持续性室性心动过速,DIS-CARD-ARR-VT,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
持续性室性心动过速,DIS-CARD-ARR-VT,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
暴发性心肌炎,DIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎治疗方案,PLAN-CARD-6411F76AB98D,has_treatment_plan,,0,2,43,"['机械循环支持', '生命支持治疗']"
束支传导阻滞,DIS-CARD-ARR-BBB,束支传导阻滞治疗方案,PLAN-CARD-00B9C7D70BD9,has_treatment_plan,False,0,6,23,"['植入式心律转复除颤器', '心脏再同步治疗', '经导管主动脉瓣置换术', '观察随访', '起搏治疗']"
法布雷病心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病治疗方案,PLAN-CARD-D8661B4FB4B1,has_treatment_plan,False,0,3,3,"['阿加糖酶α', '阿加糖酶β', '法布雷病心肌病治疗路径']"
淀粉样变心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病治疗方案,PLAN-CARD-BE44DFBB5552,has_treatment_plan,False,0,3,12,"['心脏移植', '埋藏式心脏复律除颤器', '淀粉样变心肌病治疗路径']"
特发性肺动脉高压,DIS-CARD-PH-IPAH,特发性肺动脉高压治疗方案,PLAN-CARD-E1D61826F7A4,has_treatment_plan,,0,3,46,"['前列环素通路药物', '内皮素受体拮抗剂', '磷酸二酯酶5抑制剂']"
白大衣高血压,DIS-CARD-HT-WCH,生活方式干预,PLAN-CARD-2081B78ED14D,has_treatment_plan,False,0,7,103,"['戒烟限酒', '减重', '隐匿性高血压专病诊疗路径', '高血压专病诊疗路径', '原发性高血压专病诊疗路径']"
白大衣高血压,DIS-CARD-HT-WCH,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
短QT间期综合征,DIS-CARD-ARR-SQTS,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
短QT间期综合征,DIS-CARD-ARR-SQTS,短QT间期综合征治疗方案,PLAN-CARD-C1B0D29171C8,has_treatment_plan,False,0,3,6,"['埋藏式心脏转复除颤器', 'ICD治疗', '短QT间期综合征治疗路径']"
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,抗血小板治疗,PLAN-CARD-42FD049DCDB5,has_treatment_plan,False,0,1,596,['抗血小板药物']
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛治疗方案,PLAN-CARD-DDD036288AF3,has_treatment_plan,False,0,1,20,['稳定型心绞痛治疗路径']
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
窦性心动过缓,DIS-CARD-ARR-SB,下位的潜在起搏点,CARD-SKELETON-20260709-TREATMENTPLAN-BFCF60272E5E8F9F,has_treatment_plan,False,0,8,2,"['阿托品', 'β受体拮抗剂', '异丙肾上腺素', '钙通道阻滞剂', '非二氢吡啶类钙通道阻滞剂']"
