disease,disease_code,plan,plan_code,direct_rel_type,direct_formal_ready,formal_rec_n,plan_downstream_n,plan_evidence_n,downstream_examples
主动脉瓣反流,DIS-CARD-VHD-AR,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
主动脉瓣狭窄,DIS-CARD-VHD-AS,主动脉瓣狭窄治疗方案,PLAN-CARD-972500D471D3,has_treatment_plan,,0,3,155,"['经导管主动脉瓣置换术', '经皮球囊肺动脉瓣成形术', '经导管二尖瓣缘对缘修复术']"
主动脉瓣狭窄,DIS-CARD-VHD-AS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
主动脉瓣狭窄,DIS-CARD-VHD-AS,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
主动脉瘤,DIS-CARD-AORTA-ANEURYSM,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
二尖瓣反流,DIS-CARD-VHD-MR,二尖瓣反流治疗方案,PLAN-CARD-D13735E31259,has_treatment_plan,,0,4,99,"['阿司匹林', '苄星青霉素', '经导管主动脉瓣置换术', '经导管二尖瓣缘对缘修复术']"
二尖瓣反流,DIS-CARD-VHD-MR,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
二尖瓣反流,DIS-CARD-VHD-MR,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
二尖瓣反流,DIS-CARD-VHD-MR,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
二尖瓣狭窄,DIS-CARD-VHD-MS,二尖瓣狭窄治疗方案,PLAN-CARD-E263D399B9AC,has_treatment_plan,,0,2,46,"['经导管主动脉瓣置换术', '经导管二尖瓣缘对缘修复术']"
二尖瓣狭窄,DIS-CARD-VHD-MS,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
二尖瓣狭窄,DIS-CARD-VHD-MS,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
二尖瓣狭窄,DIS-CARD-VHD-MS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
二尖瓣狭窄,DIS-CARD-VHD-MS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
二度房室传导阻滞,DIS-CARD-ARR-AVB2,二度房室传导阻滞治疗方案,PLAN-CARD-1A90D3A039E7,has_treatment_plan,False,0,7,3,"['异丙肾上腺素', '永久起搏器植入', '临时心脏起搏', '阿托品', '起搏治疗']"
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速治疗方案,PLAN-CARD-D4265EE715BD,has_treatment_plan,False,0,14,10,"['奎尼丁', '电复律除颤', '植入式心律转复除颤器', '抗心律失常药物治疗', '导管消融']"
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
先天性心脏病,DIS-CARD-CHD,先天性心脏病治疗方案,PLAN-CARD-364511B07637,has_treatment_plan,,0,4,73,"['经皮球囊肺动脉瓣成形术', '球囊成形术', '外科手术治疗', '经皮介入治疗']"
先天性心脏病相关肺动脉高压,DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压治疗方案,PLAN-CARD-68BA260702ED,has_treatment_plan,,0,4,70,"['内皮素受体拮抗剂', '磷酸二酯酶5抑制剂', '前列环素通路药物', '经皮球囊肺动脉瓣成形术']"
全心衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭治疗方案,PLAN-CARD-E34C37595CAA,has_treatment_plan,False,0,2,3,"['袢利尿剂', '全心衰竭治疗路径']"
内分泌性高血压,DIS-CARD-HT-ENDOCRINE,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
动脉导管未闭,DIS-CARD-PDA,动脉导管未闭治疗方案,PLAN-CARD-FB6CF2D4A097,has_treatment_plan,,0,2,37,"['球囊成形术', '经皮介入治疗']"
动脉性肺动脉高压,DIS-CARD-PH-PAH,动脉性肺动脉高压治疗方案,PLAN-CARD-B3899CA0A573,has_treatment_plan,,0,3,170,"['前列环素通路药物', '内皮素受体拮抗剂', '磷酸二酯酶5抑制剂']"
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
卵圆孔未闭,DIS-CARD-PFO,卵圆孔未闭治疗方案,PLAN-CARD-50F24D80FC7C,has_treatment_plan,,0,3,63,"['阿司匹林', '外科手术治疗', '经皮介入治疗']"
原发性醛固酮增多症,DIS-CARD-HT-PA,联合降压治疗,PLAN-CARD-0CDCF256C0E6,has_treatment_plan,False,0,8,84,"['血管紧张素Ⅱ受体阻滞剂', '钙通道阻滞剂', 'β受体阻滞剂', '血管紧张素转换酶抑制剂', '利尿剂']"
原发性醛固酮增多症,DIS-CARD-HT-PA,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
原发性醛固酮增多症,DIS-CARD-HT-PA,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
原发性高血压,DIS-CARD-HT-PRIMARY,生活方式干预,PLAN-CARD-2081B78ED14D,has_treatment_plan,False,0,7,103,"['戒烟限酒', '减重', '隐匿性高血压专病诊疗路径', '高血压专病诊疗路径', '原发性高血压专病诊疗路径']"
原发性高血压,DIS-CARD-HT-PRIMARY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,has_treatment_plan,False,0,8,84,"['血管紧张素Ⅱ受体阻滞剂', '钙通道阻滞剂', 'β受体阻滞剂', '血管紧张素转换酶抑制剂', '利尿剂']"
原发性高血压,DIS-CARD-HT-PRIMARY,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
右心衰竭,DIS-CARD-HF-RIGHT,右心衰竭治疗方案,PLAN-CARD-E843FA63DDCF,has_treatment_plan,False,0,2,30,"['袢利尿剂', '右心衰竭治疗路径']"
嗜铬细胞瘤和副神经节瘤,DIS-CARD-HTN-PHEO,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
外周动脉疾病,DIS-CARD-PAD,外周动脉疾病治疗方案,PLAN-CARD-FDF9BEB9595E,has_treatment_plan,,0,2,3,"['血运重建治疗', '他汀类药物']"
多瓣膜病,DIS-CARD-VHD-MULTI,多瓣膜病治疗方案,PLAN-CARD-5CF159A587EB,has_treatment_plan,,0,2,3,"['经导管主动脉瓣置换术', '经导管二尖瓣缘对缘修复术']"
室上性心动过速,DIS-CARD-ARR-SVT,同步电复律,PLAN-CARD-108E680ADD4F,has_treatment_plan,False,0,1,107,['同步直流电复律']
室上性心动过速,DIS-CARD-ARR-SVT,室上性心动过速治疗方案,PLAN-CARD-18BAD30E125A,has_treatment_plan,False,0,15,84,"['胺碘酮', '维拉帕米', '腺苷', '索他洛尔', '普罗帕酮']"
室上性心动过速,DIS-CARD-ARR-SVT,导管消融,PLAN-CARD-5C9E41087192,has_treatment_plan,False,0,3,334,"['房颤导管消融', '射频导管消融', '肺静脉隔离']"
室上性心动过速,DIS-CARD-ARR-SVT,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
室上性心动过速,DIS-CARD-ARR-SVT,迷走神经刺激,PLAN-CARD-741F70867FDD,has_treatment_plan,False,0,2,36,"['Valsalva动作', '颈动脉窦按摩']"
室性心律失常,DIS-CARD-ARR-VA,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
室性心律失常,DIS-CARD-ARR-VA,室性心律失常治疗方案,PLAN-CARD-2DBB5F9C858E,has_treatment_plan,False,0,21,58,"['利多卡因', '美托洛尔', '普萘洛尔', '普罗帕酮', 'β受体阻滞剂']"
室性心律失常,DIS-CARD-ARR-VA,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
室性心律失常,DIS-CARD-ARR-VA,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
室性心律失常,DIS-CARD-ARR-VA,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
室性期前收缩,DIS-CARD-ARR-PVC,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
室性期前收缩,DIS-CARD-ARR-PVC,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
室性期前收缩,DIS-CARD-ARR-PVC,室性期前收缩治疗方案,PLAN-CARD-77E2B4A66CCD,has_treatment_plan,False,0,26,41,"['β受体阻滞剂', '美托洛尔', '普萘洛尔', '抗心律失常药物', '普罗帕酮']"
室性期前收缩,DIS-CARD-ARR-PVC,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
室性期前收缩,DIS-CARD-ARR-PVC,急救复苏,PLAN-CARD-C23D6266C767,has_treatment_plan,False,0,2,10,"['心肺复苏', '电除颤']"
室性期前收缩,DIS-CARD-ARR-PVC,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
室性期前收缩,DIS-CARD-ARR-PVC,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
室性期前收缩,DIS-CARD-ARR-PVC,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
室性期前收缩,DIS-CARD-ARR-PVC,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
